doc_id,senate_committee,senate_committee_refdate,house_committee,house_committee_refdate
08hb5749,NA,NA,Agriculture,2008-02-14
08hb5750,AGRICULTURE,2008-07-17,Agriculture,2008-02-14
08hb5751,NA,NA,Agriculture,2008-02-14
08hb5752,AGRICULTURE,2008-06-27,Agriculture,2008-02-14
08hb5753,NA,NA,Agriculture,2008-02-14
08hb5754,NA,NA,Judiciary,2008-02-19
08hb5755,NA,NA,Judiciary,2008-02-19
08hb5756,NA,NA,Judiciary,2008-02-19
08hb5757,JUDICIARY,2008-03-18,Judiciary,2008-02-19
08hb5758,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-19
08hb5759,NA,NA,Health Policy,2008-02-19
08hb5760,NA,NA,Judiciary,2008-02-19
08hb5761,NA,NA,Judiciary,2008-02-19
08hb5762,NA,NA,Great Lakes and Environment,2008-02-19
08hb5763,NA,NA,Great Lakes and Environment,2008-02-19
08hb5764,NA,NA,Commerce,2008-02-19
08hb5765,EDUCATION,2008-12-10,Education,2008-02-19
08hb5766,TRANSPORTATION,2008-09-11,Transportation,2008-02-19
08hb5767,NA,NA,Insurance,2008-02-19
08hb5768,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-19
08hb5769,AGRICULTURE,2008-07-17,Agriculture,2008-02-19
08hb5770,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-02-19
08hb5771,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2008-12-02,"Tourism, Outdoor Recreation and Natural Resources",2008-02-19
08hb5772,NA,NA,Government Operations,2008-02-19
08hb5773,NA,NA,Transportation,2008-02-20
08hb5774,AGRICULTURE,2008-07-17,New Economy and Quality of Life,2008-02-20
08hb5775,NA,NA,Tax Policy,2008-02-20
08hb5776,NA,NA,Insurance,2008-02-20
08hb5777,NA,NA,Tax Policy,2008-02-20
08hb5778,AGRICULTURE,2008-11-13,Agriculture,2008-02-21
08hb5779,JUDICIARY,2008-03-25,"Intergovernmental, Urban and Regional Affairs",2008-02-21
08hb5780,COMMERCE AND TOURISM,2008-05-21,Labor,2008-02-21
08hb5781,COMMERCE AND TOURISM,2008-05-21,Labor,2008-02-21
08hb5782,COMMERCE AND TOURISM,2008-05-21,Labor,2008-02-21
08hb5783,COMMERCE AND TOURISM,2008-05-21,Labor,2008-02-21
08hb5784,COMMERCE AND TOURISM,2008-05-21,Labor,2008-02-21
08hb5785,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5786,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5787,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5788,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5789,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5790,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5791,COMMERCE AND TOURISM,2008-05-21,Commerce,2008-02-21
08hb5792,CAMPAIGN AND ELECTION OVERSIGHT,2008-05-13,Ethics and Elections,2008-02-21
08hb5793,NA,NA,Tax Policy,2008-02-26
08hb5794,NA,NA,Transportation,2008-02-26
08hb5795,NA,NA,Ethics and Elections,2008-02-26
08hb5796,NA,NA,Judiciary,2008-02-26
08hb5797,FINANCE,2008-11-05,Tax Policy,2008-02-26
08hb5798,ENERGY POLICY AND PUBLIC UTILITIES,2008-03-05,Energy and Technology,2008-02-26
08hb5799,NA,NA,Judiciary,2008-02-26
08hb5800,NA,NA,Judiciary,2008-02-26
08hb5801,NA,NA,Tax Policy,2008-02-26
08hb5802,NA,NA,Tax Policy,2008-02-26
08hb5803,NA,NA,Appropriations,2008-02-26
08hb5804,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5805,NA,NA,Appropriations,2008-02-26
08hb5806,NA,NA,Appropriations,2008-02-26
08hb5807,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5808,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5809,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5810,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5811,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5812,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5813,NA,NA,Appropriations,2008-02-26
08hb5814,APPROPRIATIONS,2008-04-23,Appropriations,2008-02-26
08hb5815,NA,NA,Appropriations,2008-02-26
08hb5816,APPROPRIATIONS,2008-03-25,Appropriations,2008-02-26
08hb5817,NA,NA,Appropriations,2008-02-26
08hb5818,NA,NA,Appropriations,2008-02-26
08hb5819,NA,NA,Appropriations,2008-02-26
08hb5820,NA,NA,Appropriations,2008-02-26
08hb5821,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-27
08hb5822,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-27
08hb5823,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-27
08hb5824,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-27
08hb5825,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-02-27
08hb5826,NA,NA,Regulatory Reform,2008-02-27
08hb5827,NA,NA,Judiciary,2008-02-27
08hb5828,FAMILIES AND HUMAN SERVICES,2008-07-17,Judiciary,2008-02-28
08hb5829,JUDICIARY,2008-05-20,Judiciary,2008-02-28
08hb5830,JUDICIARY,2008-05-20,Judiciary,2008-02-28
08hb5831,JUDICIARY,2008-05-20,Judiciary,2008-02-28
08hb5832,EDUCATION,2008-04-30,Education,2008-02-28
08hb5833,APPROPRIATIONS,2008-06-12,Appropriations,2008-02-28
08hb5834,APPROPRIATIONS,2008-06-12,Appropriations,2008-02-28
08hb5835,NA,NA,Tax Policy,2008-02-28
08hb5836,NA,NA,Oversight and Investigations,2008-02-28
08hb5837,NA,NA,Oversight and Investigations,2008-02-28
08hb5838,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-06-24,Insurance,2008-02-28
08hb5839,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-02-28
08hb5840,NA,NA,Transportation,2008-02-28
08hb5841,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5842,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5843,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5844,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5845,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5846,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5847,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5848,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5849,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5850,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5851,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5852,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5853,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5854,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5855,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5856,COMMERCE AND TOURISM,2008-03-13,Commerce,2008-02-28
08hb5857,NA,NA,Banking and Financial Services,2008-03-04
08hb5858,COMMERCE AND TOURISM,2008-03-12,New Economy and Quality of Life,2008-03-04
08hb5859,JUDICIARY,2008-03-25,"Intergovernmental, Urban and Regional Affairs",2008-03-04
08hb5860,NA,NA,Great Lakes and Environment,2008-03-04
08hb5861,TRANSPORTATION,2008-03-12,Transportation,2008-03-05
08hb5862,AGRICULTURE,2008-07-17,Agriculture,2008-03-05
08hb5863,FINANCE,2008-04-15,Tax Policy,2008-03-05
08hb5864,NA,NA,Tax Policy,2008-03-06
08hb5865,COMMERCE AND TOURISM,2008-03-20,"Tourism, Outdoor Recreation and Natural Resources",2008-03-06
08hb5866,COMMERCE AND TOURISM,2008-03-20,"Tourism, Outdoor Recreation and Natural Resources",2008-03-06
08hb5867,COMMERCE AND TOURISM,2008-03-20,"Tourism, Outdoor Recreation and Natural Resources",2008-03-06
08hb5868,NA,NA,Education,2008-03-06
08hb5869,NA,NA,Tax Policy,2008-03-06
08hb5870,FINANCE,2008-05-27,Tax Policy,2008-03-11
08hb5871,NA,NA,Great Lakes and Environment,2008-03-11
08hb5872,NA,NA,Commerce,2008-03-11
08hb5873,NA,NA,Commerce,2008-03-11
08hb5874,AGRICULTURE,2008-07-17,Agriculture,2008-03-11
08hb5875,NA,NA,Agriculture,2008-03-11
08hb5876,NA,NA,Agriculture,2008-03-11
08hb5877,AGRICULTURE,2008-07-17,Agriculture,2008-03-11
08hb5878,NA,NA,Agriculture,2008-03-11
08hb5879,NA,NA,Transportation,2008-03-11
08hb5880,NA,NA,Health Policy,2008-03-12
08hb5881,NA,NA,Health Policy,2008-03-12
08hb5882,NA,NA,Commerce,2008-03-12
08hb5883,NA,NA,Transportation,2008-03-12
08hb5884,NA,NA,Transportation,2008-03-12
08hb5885,NA,NA,Transportation,2008-03-12
08hb5886,NA,NA,Commerce,2008-03-12
08hb5887,NA,NA,Regulatory Reform,2008-03-12
08hb5888,NA,NA,Appropriations,2008-03-12
08hb5889,NA,NA,Health Policy,2008-03-13
08hb5890,NA,NA,Health Policy,2008-03-13
08hb5891,NA,NA,Ethics and Elections,2008-03-13
08hb5892,NA,NA,Energy and Technology,2008-03-13
08hb5893,FINANCE,2008-05-01,Tax Policy,2008-03-13
08hb5894,FAMILIES AND HUMAN SERVICES,2008-03-25,Families and Children's Services,2008-03-13
08hb5895,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-04-15,New Economy and Quality of Life,2008-03-13
08hb5896,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-04-15,New Economy and Quality of Life,2008-03-13
08hb5897,NA,NA,Judiciary,2008-03-13
08hb5898,FINANCE,2008-04-22,Tax Policy,2008-03-13
08hb5899,NA,NA,Tax Policy,2008-03-13
08hb5900,COMMERCE AND TOURISM,2008-04-24,Judiciary,2008-03-13
08hb5901,COMMERCE AND TOURISM,2008-04-24,Judiciary,2008-03-13
08hb5902,COMMERCE AND TOURISM,2008-04-24,Judiciary,2008-03-13
08hb5903,BANKING AND FINANCIAL INSTITUTIONS,2008-05-01,Banking and Financial Services,2008-03-13
08hb5904,NA,NA,Government Operations,2008-03-18
08hb5905,NA,NA,Judiciary,2008-03-18
08hb5906,NA,NA,Military and Veterans Affairs and Homeland Security,2008-03-18
08hb5907,NA,NA,"Intergovernmental, Urban and Regional Affairs",2008-03-18
08hb5908,NA,NA,Commerce,2008-03-18
08hb5909,JUDICIARY,2008-04-15,Judiciary,2008-03-18
08hb5910,FAMILIES AND HUMAN SERVICES,2008-05-06,Families and Children's Services,2008-03-19
08hb5911,NA,NA,Education,2008-03-19
08hb5912,NA,NA,Education,2008-03-19
08hb5913,NA,NA,Retiree Health Care Reforms,2008-03-19
08hb5914,NA,NA,Retiree Health Care Reforms,2008-03-19
08hb5915,NA,NA,Transportation,2008-03-20
08hb5916,NA,NA,Regulatory Reform,2008-03-20
08hb5917,NA,NA,Regulatory Reform,2008-03-20
08hb5918,NA,NA,Regulatory Reform,2008-03-20
08hb5919,TRANSPORTATION,2008-05-08,Transportation,2008-03-20
08hb5920,NA,NA,Ethics and Elections,2008-03-20
08hb5921,NA,NA,Transportation,2008-03-20
08hb5922,NA,NA,Transportation,2008-03-20
08hb5923,NA,NA,Oversight and Investigations,2008-03-20
08hb5924,NA,NA,Tax Policy,2008-03-20
08hb5925,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-04-15,Regulatory Reform,2008-03-20
08hb5926,NA,NA,Agriculture,2008-03-20
08hb5927,NA,NA,Agriculture,2008-03-20
08hb5928,NA,NA,Education,2008-03-20
08hb5929,NA,NA,Appropriations,2008-03-20
08hb5930,NA,NA,Families and Children's Services,2008-03-20
08hb5931,NA,NA,Judiciary,2008-03-20
08hb5932,SENIOR CITIZENS AND VETERANS AFFAIRS,2008-11-05,Military and Veterans Affairs and Homeland Security,2008-04-08
08hb5933,NA,NA,Families and Children's Services,2008-04-08
08hb5934,BANKING AND FINANCIAL INSTITUTIONS,2008-06-27,Banking and Financial Services,2008-04-08
08hb5935,BANKING AND FINANCIAL INSTITUTIONS,2008-06-27,Banking and Financial Services,2008-04-08
08hb5936,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-04-29,Banking and Financial Services,2008-04-08
08hb5937,NA,NA,Tax Policy,2008-04-08
08hb5938,FINANCE,2008-06-27,Tax Policy,2008-04-08
08hb5939,FINANCE,2008-05-15,Tax Policy,2008-04-08
08hb5940,FINANCE,2008-05-15,Tax Policy,2008-04-08
08hb5941,FINANCE,2008-05-15,Tax Policy,2008-04-08
08hb5942,NA,NA,Appropriations,2008-04-08
08hb5943,NA,NA,Education,2008-04-08
08hb5944,APPROPRIATIONS,2008-07-17,Labor,2008-04-08
08hb5945,NA,NA,Tax Policy,2008-04-08
08hb5946,NA,NA,Judiciary,2008-04-08
08hb5947,NA,NA,New Economy and Quality of Life,2008-04-08
08hb5948,NA,NA,New Economy and Quality of Life,2008-04-08
08hb5949,NA,NA,New Economy and Quality of Life,2008-04-08
08hb5950,NA,NA,New Economy and Quality of Life,2008-04-08
08hb5951,AGRICULTURE,2008-06-27,Agriculture,2008-04-08
08hb5952,"LOCAL, URBAN AND STATE AFFAIRS",2008-05-01,"Intergovernmental, Urban and Regional Affairs",2008-04-08
08hb5953,JUDICIARY,2008-09-11,Judiciary,2008-04-08
08hb5954,JUDICIARY,2008-09-11,Judiciary,2008-04-08
08hb5955,NA,NA,Tax Policy,2008-04-08
08hb5956,NA,NA,Military and Veterans Affairs and Homeland Security,2008-04-08
08hb5957,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-04-08
08hb5958,NA,NA,Military and Veterans Affairs and Homeland Security,2008-04-08
08hb5959,NA,NA,Commerce,2008-04-08
08hb5960,NA,NA,Military and Veterans Affairs and Homeland Security,2008-04-08
08hb5961,NA,NA,Agriculture,2008-04-09
08hb5962,NA,NA,Agriculture,2008-04-09
08hb5963,SENIOR CITIZENS AND VETERANS AFFAIRS,2008-04-22,Military and Veterans Affairs and Homeland Security,2008-04-09
08hb5964,NA,NA,Government Operations,2008-04-09
08hb5965,TRANSPORTATION,2008-05-07,Transportation,2008-04-09
08hb5966,APPROPRIATIONS,2008-09-10,Retiree Health Care Reforms,2008-04-09
08hb5967,NA,NA,Agriculture,2008-04-09
08hb5968,NA,NA,Appropriations,2008-04-10
08hb5969,JUDICIARY,2008-05-07,"Tourism, Outdoor Recreation and Natural Resources",2008-04-10
08hb5970,NA,NA,Health Policy,2008-04-10
08hb5971,NA,NA,Tax Policy,2008-04-10
08hb5972,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5973,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5974,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5975,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5976,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5977,COMMERCE AND TOURISM,2008-04-22,Energy and Technology,2008-04-10
08hb5978,NA,NA,Tax Policy,2008-04-10
08hb5979,NA,NA,Tax Policy,2008-04-10
08hb5980,NA,NA,Families and Children's Services,2008-04-10
08hb5981,NA,NA,Tax Policy,2008-04-10
08hb5982,NA,NA,Judiciary,2008-04-10
08hb5983,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2008-04-29,"Tourism, Outdoor Recreation and Natural Resources",2008-04-10
08hb5984,FAMILIES AND HUMAN SERVICES,2008-04-22,Judiciary,2008-04-10
08hb5985,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-04-15
08hb5986,NA,NA,Judiciary,2008-04-15
08hb5987,JUDICIARY,2008-06-27,Judiciary,2008-04-15
08hb5988,NA,NA,Tax Policy,2008-04-15
08hb5989,NA,NA,Tax Policy,2008-04-15
08hb5990,NA,NA,Ethics and Elections,2008-04-16
08hb5991,NA,NA,Oversight and Investigations,2008-04-16
08hb5992,AGRICULTURE,2008-06-27,Agriculture,2008-04-16
08hb5993,NA,NA,Judiciary,2008-04-16
08hb5994,NA,NA,Judiciary,2008-04-16
08hb5995,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-09-10,Regulatory Reform,2008-04-17
08hb5996,HOMELAND SECURITY AND EMERGING TECHNOLOGIES,2008-07-17,Government Operations,2008-04-17
08hb5997,HOMELAND SECURITY AND EMERGING TECHNOLOGIES,2008-07-17,Government Operations,2008-04-17
08hb5998,HOMELAND SECURITY AND EMERGING TECHNOLOGIES,2008-07-17,Government Operations,2008-04-17
08hb5999,HOMELAND SECURITY AND EMERGING TECHNOLOGIES,2008-07-17,Government Operations,2008-04-17
08hb6000,NA,NA,Commerce,2008-04-17
08hb6001,NA,NA,Appropriations,2008-04-17
08hb6002,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-04-22
08hb6003,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-06-12,Commerce,2008-04-22
08hb6004,NA,NA,Oversight and Investigations,2008-04-22
08hb6005,NA,NA,Transportation,2008-04-23
08hb6006,NA,NA,Energy and Technology,2008-04-23
08hb6007,JUDICIARY,2008-12-18,Judiciary,2008-04-23
08hb6008,NA,NA,Judiciary,2008-04-23
08hb6009,NA,NA,Energy and Technology,2008-04-24
08hb6010,FINANCE,2008-11-05,Tax Policy,2008-04-24
08hb6011,NA,NA,Transportation,2008-04-24
08hb6012,NA,NA,Insurance,2008-04-24
08hb6013,NA,NA,Labor,2008-04-24
08hb6014,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2008-05-15,"Tourism, Outdoor Recreation and Natural Resources",2008-04-24
08hb6015,JUDICIARY,2008-05-20,Judiciary,2008-04-24
08hb6016,NA,NA,Commerce,2008-04-24
08hb6017,NA,NA,Commerce,2008-04-24
08hb6018,NA,NA,Tax Policy,2008-04-24
08hb6019,FAMILIES AND HUMAN SERVICES,2008-05-15,"Senior Health, Security, and Retirement",2008-04-24
08hb6020,NA,NA,Tax Policy,2008-04-24
08hb6021,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2008-06-26,Agriculture,2008-04-24
08hb6022,JUDICIARY,2008-06-05,Judiciary,2008-04-24
08hb6023,NA,NA,Insurance,2008-04-29
08hb6024,NA,NA,Judiciary,2008-04-30
08hb6025,FINANCE,2008-12-18,Tax Policy,2008-04-30
08hb6026,FINANCE,2008-12-18,Tax Policy,2008-04-30
08hb6027,NA,NA,Education,2008-04-30
08hb6028,NA,NA,Tax Policy,2008-04-30
08hb6029,TRANSPORTATION,2008-07-17,Transportation,2008-04-30
08hb6030,NA,NA,Tax Policy,2008-04-30
08hb6031,FINANCE,2008-06-12,Tax Policy,2008-05-01
08hb6032,APPROPRIATIONS,2008-09-16,"Intergovernmental, Urban and Regional Affairs",2008-05-01
08hb6033,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6034,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6035,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6036,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6037,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6038,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6039,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6040,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6041,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6042,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-12-04,Regulatory Reform,2008-05-01
08hb6043,NA,NA,Regulatory Reform,2008-05-01
08hb6044,NA,NA,Energy and Technology,2008-05-06
08hb6045,NA,NA,Judiciary,2008-05-06
08hb6046,NA,NA,Education,2008-05-06
08hb6047,NA,NA,"Tourism, Outdoor Recreation and Natural Resources",2008-05-06
08hb6048,HEALTH POLICY,2008-06-03,Judiciary,2008-05-06
08hb6049,NA,NA,Judiciary,2008-05-06
08hb6050,NA,NA,Judiciary,2008-05-06
08hb6051,NA,NA,Insurance,2008-05-06
08hb6052,NA,NA,Insurance,2008-05-06
08hb6053,APPROPRIATIONS,2008-06-05,Appropriations,2008-05-06
08hb6054,NA,NA,Military and Veterans Affairs and Homeland Security,2008-05-06
08hb6055,NA,NA,Appropriations,2008-05-06
08hb6056,NA,NA,Appropriations,2008-05-06
08hb6057,NA,NA,Appropriations,2008-05-06
08hb6058,NA,NA,Appropriations,2008-05-06
08hb6059,APPROPRIATIONS,2008-09-23,Appropriations,2008-05-06
08hb6060,NA,NA,Appropriations,2008-05-06
08hb6061,NA,NA,Appropriations,2008-05-06
08hb6062,NA,NA,Appropriations,2008-05-06
08hb6063,NA,NA,Appropriations,2008-05-06
08hb6064,NA,NA,Appropriations,2008-05-06
08hb6065,NA,NA,Appropriations,2008-05-06
08hb6066,NA,NA,Appropriations,2008-05-06
08hb6067,NA,NA,Appropriations,2008-05-06
08hb6068,NA,NA,Appropriations,2008-05-06
08hb6069,NA,NA,Judiciary,2008-05-07
08hb6070,HOMELAND SECURITY AND EMERGING TECHNOLOGIES,2008-12-02,Energy and Technology,2008-05-07
08hb6071,NA,NA,Health Policy,2008-05-07
08hb6072,NA,NA,Health Policy,2008-05-07
08hb6073,NA,NA,Health Policy,2008-05-07
08hb6074,NA,NA,Health Policy,2008-05-07
08hb6075,NA,NA,Health Policy,2008-05-07
08hb6076,NA,NA,Health Policy,2008-05-07
08hb6077,NA,NA,Health Policy,2008-05-07
08hb6078,NA,NA,Health Policy,2008-05-07
08hb6079,NA,NA,Health Policy,2008-05-07
08hb6080,NA,NA,Health Policy,2008-05-07
08hb6081,NA,NA,Health Policy,2008-05-07
08hb6082,NA,NA,Health Policy,2008-05-07
08hb6083,NA,NA,Health Policy,2008-05-07
08hb6084,NA,NA,Health Policy,2008-05-07
08hb6085,NA,NA,Education,2008-05-07
08hb6086,NA,NA,Education,2008-05-07
08hb6087,NA,NA,Transportation,2008-05-08
08hb6088,NA,NA,Regulatory Reform,2008-05-08
08hb6089,FAMILIES AND HUMAN SERVICES,2008-12-02,Families and Children's Services,2008-05-08
08hb6090,FINANCE,2008-12-02,Families and Children's Services,2008-05-08
08hb6091,APPROPRIATIONS,2008-09-23,Appropriations,2008-05-08
08hb6092,JUDICIARY,2008-05-27,Judiciary,2008-05-08
08hb6093,JUDICIARY,2008-05-27,Judiciary,2008-05-08
08hb6094,APPROPRIATIONS,2008-06-05,Appropriations,2008-05-08
08hb6095,NA,NA,Judiciary,2008-05-08
08hb6096,JUDICIARY,2008-12-02,Judiciary,2008-05-08
08hb6097,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6098,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6099,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6100,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6101,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6102,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6103,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6104,JUDICIARY,2008-12-02,Judiciary,2008-05-08
08hb6105,JUDICIARY,2008-06-26,Judiciary,2008-05-08
08hb6106,NA,NA,Banking and Financial Services,2008-05-08
08hb6107,NA,NA,Banking and Financial Services,2008-05-08
08hb6108,NA,NA,Tax Policy,2008-05-13
08hb6109,NA,NA,Education,2008-05-13
08hb6110,NA,NA,Education,2008-05-13
08hb6111,NA,NA,Appropriations,2008-05-13
08hb6112,GOVERNMENT OPERATIONS AND REFORM,2008-06-27,Labor,2008-05-13
08hb6113,APPROPRIATIONS,2008-12-10,Government Operations,2008-05-13
08hb6114,COMMERCE AND TOURISM,2008-12-02,Transportation,2008-05-13
08hb6115,NA,NA,Oversight and Investigations,2008-05-13
08hb6116,NA,NA,Oversight and Investigations,2008-05-13
08hb6117,NA,NA,Energy and Technology,2008-05-14
08hb6118,NA,NA,Retiree Health Care Reforms,2008-05-14
08hb6119,NA,NA,Retiree Health Care Reforms,2008-05-14
08hb6120,NA,NA,Retiree Health Care Reforms,2008-05-14
08hb6121,"LOCAL, URBAN AND STATE AFFAIRS",2008-06-12,"Intergovernmental, Urban and Regional Affairs",2008-05-14
08hb6122,NA,NA,Tax Policy,2008-05-15
08hb6123,NA,NA,Education,2008-05-15
08hb6124,NA,NA,Commerce,2008-05-20
08hb6125,NA,NA,Insurance,2008-05-20
08hb6126,NA,NA,Transportation,2008-05-20
08hb6127,NA,NA,Regulatory Reform,2008-05-20
08hb6128,NA,NA,Tax Policy,2008-05-20
08hb6129,NA,NA,Appropriations,2008-05-20
08hb6130,COMMERCE AND TOURISM,2008-09-23,Regulatory Reform,2008-05-20
08hb6131,FAMILIES AND HUMAN SERVICES,2008-06-24,Families and Children's Services,2008-05-20
08hb6132,NA,NA,Tax Policy,2008-05-21
08hb6133,AGRICULTURE,2008-06-26,"Tourism, Outdoor Recreation and Natural Resources",2008-05-21
08hb6134,NA,NA,Oversight and Investigations,2008-05-21
08hb6135,NA,NA,Oversight and Investigations,2008-05-21
08hb6136,NA,NA,Oversight and Investigations,2008-05-21
08hb6137,NA,NA,Oversight and Investigations,2008-05-21
08hb6138,NA,NA,Oversight and Investigations,2008-05-21
08hb6139,NA,NA,Oversight and Investigations,2008-05-21
08hb6140,NA,NA,Oversight and Investigations,2008-05-21
08hb6141,NA,NA,Oversight and Investigations,2008-05-21
08hb6142,NA,NA,Oversight and Investigations,2008-05-21
08hb6143,NA,NA,Oversight and Investigations,2008-05-21
08hb6144,NA,NA,Oversight and Investigations,2008-05-21
08hb6145,NA,NA,Oversight and Investigations,2008-05-21
08hb6146,NA,NA,Oversight and Investigations,2008-05-21
08hb6147,NA,NA,Judiciary,2008-05-21
08hb6148,BANKING AND FINANCIAL INSTITUTIONS,2008-11-13,Banking and Financial Services,2008-05-21
08hb6149,NA,NA,Education,2008-05-21
08hb6150,ECONOMIC DEVELOPMENT AND REGULATORY REFORM,2008-06-18,New Economy and Quality of Life,2008-05-21
08hb6151,NA,NA,Judiciary,2008-05-22
08hb6152,NA,NA,Education,2008-05-22
08hb6153,NA,NA,Tax Policy,2008-05-22
08hb6154,NA,NA,Tax Policy,2008-05-22
08hb6155,NA,NA,Regulatory Reform,2008-05-22
08hb6156,NA,NA,Health Policy,2008-05-22
08hb6157,NA,NA,Judiciary,2008-05-22
08hb6158,NA,NA,Health Policy,2008-05-22
08hb6159,NA,NA,Health Policy,2008-05-22
08hb6160,NA,NA,Transportation,2008-05-22
08hb6161,NA,NA,Judiciary,2008-05-22
08hb6162,FINANCE,2008-11-05,"Intergovernmental, Urban and Regional Affairs",2008-05-22
08hb6163,FINANCE,2008-11-05,"Intergovernmental, Urban and Regional Affairs",2008-05-22
08hb6164,FINANCE,2008-11-05,"Intergovernmental, Urban and Regional Affairs",2008-05-22
08hb6165,FINANCE,2008-11-05,"Intergovernmental, Urban and Regional Affairs",2008-05-22
