Document,Type,Description
SB 0258 of 2023,Senate Bill,"Probate: guardians and conservators; duties of guardians, conservators, and guardian ad litem; modify. Amends secs. 5104, 5106, 5303, 5304, 5305, 5306, 5306a, 5310, 5312, 5313, 5314, 5406, 5409, 5414, 5415, 5416, 5417 & 5418 of 1998 PA 386 (MCL 700.5104 et. seq.) & adds secs. 5106a, 5312a, 5314a, 5314b & 5314c.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0259 of 2023 (PA 25 of 2023),Senate Bill,Elections: absent voters; tabulating absent voter ballots received up to 6 days after an election from an absent uniformed services voter or overseas voter; provide for. Amends secs. 759a & 764a of 1954 PA 116 (MCL 168.759a & 168.764a).Last Action: ASSIGNED PA 0025'23 WITH IMMEDIATE EFFECT
SB 0260 of 2023,Senate Bill,Property: land sales; sale or transfer of real property to foreign entities; prohibit. Amends title & secs. 35 & 36 of 1846 RS 66 (MCL 554.135. & 554.136) & adds sec. 36a.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND AGRICULTURE
SB 0261 of 2023,Senate Bill,School aid: supplemental; allocation to certain school districts to pay down debt; provide for. Amends sec. 11 of 1979 PA 94 (MCL 388.1611) & adds sec. 22o.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0262 of 2023 (PA 223 of 2023),Senate Bill,Fire: other; fire resistance requirements for certain tents; update. Amends sec. 7b of 1941 PA 207 (MCL 29.7b).Last Action: ASSIGNED PA 0223'23
SB 0263 of 2023,Senate Bill,"Crime victims: other; address confidentiality program act; modify definitions to include kidnapping. Amends sec. 3 of 2020 PA 301 (MCL 780.853).  TIE BAR WITH: SB 0264'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0264 of 2023,Senate Bill,"Crime victims: other; address confidentiality program for certain victims and individuals; modify. Amends sec. 5 of 2020 PA 301 (MCL 780.855).  TIE BAR WITH: SB 0263'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0265 of 2023,Senate Bill,State: identification cards; cross reference to 1972 PA 22; update. Amends sec. 5 of 2008 PA 23 (MCL 28.305).  TIE BAR WITH: SB 0266'23Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0266 of 2023,Senate Bill,"State: identification cards; citizenship or legal presence requirement for obtaining a state identification card; remove. Amends secs. 1, 1a & 2 of 1972 PA 222 (MCL 28.291 et seq.).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0267 of 2023,Senate Bill,"Traffic control: driver license; citizenship or legal presence requirement for obtaining a driver license; remove. Amends secs. 50a, 51a, 232, 302, 303, 307 & 314 of 1949 PA  300 (MCL 257.50a et seq.).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0268 of 2023 (PA 167 of 2023),Senate Bill,Insurance: life; adjustment of death benefit for cemetery or funeral goods and services; modify. Amends sec. 2080 of 1956 PA 218 (MCL 500.2080).Last Action: ASSIGNED PA 0167'23 WITH IMMEDIATE EFFECT
SB 0269 of 2023,Senate Bill,"Occupations: pawnbrokers; allowable rate of interest charged by pawnbrokers; increase, and provide civil fines. Amends title & secs. 8, 9 & 18 of 1917 PA 273 (MCL 446.208 et seq.).Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0270 of 2023,Senate Bill,Property: land sales; sale or transfer of agricultural assets or land to foreign entities; prohibit. Amends title & secs. 35 & 36 of 1846 RS 66 (MCL 554.135 & 554.136) & adds secs. 36a & 36b.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0271 of 2023 (PA 235 of 2023),Senate Bill,"Energy: alternative sources; energy storage, clean energy, and increased renewable energy; set targets for. Amends title, heading of subpt. A of pt. 2, secs. 1, 3, 5, 7, 9, 11, 13, 22, 28, 29, 39, 45, 47, 49, 173, 177 & 191 of 2008 PA 295 (MCL 460.1001 et seq.) & adds secs. 32, 51, 53, 101 & 103.Last Action: ASSIGNED PA 0235'23"
SB 0272 of 2023,Senate Bill,Public utilities: public service commission; regulation of utilities by the public service commission; modify. Amends sec. 6t of 1939 PA 3 (MCL 460.6t).Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0273 of 2023 (PA 229 of 2023),Senate Bill,"Energy: alternative sources; participation in the energy waste reduction program by municipally owned utilities and co-ops; require, and set specific targets for all electric providers. Amends secs. 71, 73, 75, 77, 78, 91 & 93 of 2008 PA 295 (MCL 460.1071 et seq.); adds secs. 72, 80 & 80a & repeals sec. 6x of 1939 PA 3 (MCL 460.6x).Last Action: ASSIGNED PA 0229'23"
SB 0274 of 2023,Senate Bill,Construction: other; strategic plan relating to greenhouse gas emissions reductions for new construction; require department of licensing and regulatory affairs to create. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0275 of 2023,Senate Bill,Environmental protection: air pollution; low-carbon fuel standard; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0276 of 2023,Senate Bill,Public utilities: electric utilities; phaseout of certain coal-fired electricity-generating plants; provide for by 2030. Amends sec. 6t of 1939 PA 3 (MCL 460.6t).Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT
SB 0277 of 2023 (PA 230 of 2023),Senate Bill,Land use: farmland and open space; continued PA 116 enrollment; allow for farmland during deferment period of use for commercial solar facilities. Amends secs. 36101 & 36104a of 1994 PA 451 (MCL 324.36101 & 324.36104a) & adds secs. 36104c & 36104e.Last Action: ASSIGNED PA 0230'23
SB 0278 of 2023,Senate Bill,"Campaign finance: contributions and expenditures; use of campaign funds to pay for child care expenses; allow. Amends secs. 3, 6 & 9 of 1976 PA 388 (MCL 169.203 et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS"
SB 0279 of 2023,Senate Bill,"Health occupations: advanced practice registered nurses; scope of practice of registered professional nurses who hold specialty certifications as nurse practitioners; modify. Amends secs. 7303, 17201, 17210, 17211a & 17212 of 1978 PA 368 (MCL 333.7303 et seq.) & adds sec. 17210a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0280 of 2023 (PA 316 of 2023),Senate Bill,Health: screening; dental oral assessment program for certain children; require department of health and human services to establish. Amends sec. 9316 of 1978 PA 368 (MCL 333.9316).Last Action: ASSIGNED PA 0316'23 WITH IMMEDIATE EFFECT
SB 0281 of 2023 (PA 168 of 2023),Senate Bill,Insurance: health insurers; granting third party access to a dental network contract; allow. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406aa.Last Action: ASSIGNED PA 0168'23 WITH IMMEDIATE EFFECT
SB 0282 of 2023,Senate Bill,Insurance: no-fault; penalties for lapse of insurance policy; provide waiver for certain individuals. Amends secs. 2118 & 2120 of 1956 PA 218 (MCL 500.2118 & 500.2120) & adds sec. 2116c.Last Action: referred to second reading
SB 0283 of 2023,Senate Bill,Consumer protection: unfair trade practices; refusing to accept cash in a retail sale of goods or services; prohibit. Amends sec. 3 of 1976 PA 331 (MCL 445.903).Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0284 of 2023,Senate Bill,Appropriations: department of natural resources; Michigan natural resources trust fund; provide appropriations for fiscal year 2022-2023. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0285 of 2023,Senate Bill,Education: attendance; attendance requirements for kindergarten; modify. Amends secs. 1147 & 1561 of 1976 PA 451 (MCL 380.1147 & 380.1561).Last Action: referred to second reading
SB 0286 of 2023,Senate Bill,Liquor: liquor control commission; certain liquor code violations not held against a licensee after a certain time; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 910.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0287 of 2023,Senate Bill,Health: anatomical gifts; certain private practice offices and urgent care clinics to provide information on the donor registry and donating bone marrow; allow. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 10401.Last Action: notice given to discharge committee
SB 0288 of 2023 (PA 105 of 2023),Senate Bill,Human services: services or financial assistance; Michigan energy assistance program sunset; repeal. Repeals sec. 6 of 2012 PA 615 (MCL 400.1236).Last Action: ASSIGNED PA 0105'23 WITH IMMEDIATE EFFECT
SB 0289 of 2023 (PA 89 of 2023),Senate Bill,"Economic development: brownfield redevelopment authority; tax capture revenues; modify. Amends secs. 2, 8a, 11, 13, 13b, 13c, 14a, 15 & 16 of 1996 PA 381 (MCL 125.2652 et seq.).Last Action: ASSIGNED PA 0089'23 WITH IMMEDIATE EFFECT"
SB 0290 of 2023,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2022-2023; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0291 of 2023,Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: referred to Committee on Appropriations
SB 0292 of 2023,Senate Bill,Appropriations: omnibus; appropriations for multiple departments and branches for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0293 of 2023,Senate Bill,"Housing: other; housing and community development fund; modify. Amends secs. 58, 58b & 58c of 1966 PA 346 (MCL 125.1458 et seq.).Last Action: postponed temporarily"
SB 0294 of 2023,Senate Bill,"Environmental protection: litter; releasing balloons into the atmosphere; prohibit, and provide civil fines. Amends secs. 8902 & 8905a of 1994 PA 451 (MCL 324.8902 & 324.8905a).Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT"
SB 0295 of 2023,Senate Bill,Elections: presidential electors; presidential electors who are elected under the agreement among the states to elect the President by national popular vote; clarify. Amends sec. 42 of 1954 PA 116 (MCL 168.42).  TIE BAR WITH: HB 4156'23Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS
SB 0296 of 2023,Senate Bill,Public utilities: other; certain money spent by electric or natural gas utilities; require to be reported to the public service commission. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 6aa.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0297 of 2023,Senate Bill,Public utilities: public service commission; election of members to the Michigan public service commission; provide for. Amends secs. 1 & 2 of 1939 PA 3 (MCL 460.1 & 460.2).  TIE BAR WITH: SB 0298'23Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0298 of 2023,Senate Bill,Elections: other; election of members to the Michigan public service commission; provide for. Amends sec. 699 of 1954 PA 116 (MCL 168.699) & adds ch. VIA.  TIE BAR WITH: SB 0297'23Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0299 of 2023,Senate Bill,"Environmental protection: sewage; onsite wastewater treatment systems; regulate, and provide for assessments and evaluations. Amends sec. 12752 of 1978 PA 368 (MCL 333.12752) & adds pt. 128.  TIE BAR WITH: SB 0300'23Last Action: referred to Committee on Government Operations"
SB 0300 of 2023,Senate Bill,"Environmental protection: sewage; onsite wastewater treatment systems; regulate and provide for assessments and evaluations. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 12815, 12817 & 12829.  TIE BAR WITH: SB 0299'23Last Action: referred to Committee on Government Operations"
SB 0301 of 2023,Senate Bill,Human services: medical services; coverage for doula services; require. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109o.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0302 of 2023 (PA 106 of 2023),Senate Bill,Energy: alternative sources; property assessed clean energy program; require new construction energy projects to exceed uniform energy code standards. Amends sec. 9 of 2010 PA 270 (MCL 460.939).  TIE BAR WITH: SB 0303'23Last Action: ASSIGNED PA 0106'23
SB 0303 of 2023 (PA 107 of 2023),Senate Bill,"Energy: alternative sources; property assessed clean energy program; include environmental hazard and new construction projects and agricultural and multifamily property. Amends title & secs. 3, 5, 7, 11, 13, 15 & 17 of 2010 PA 270 (MCL 460.933 et seq.).Last Action: ASSIGNED PA 0107'23"
SB 0304 of 2023,Senate Bill,"Appropriations: school aid; supplemental appropriations in the school aid act; provide for. Amends secs. 4, 6, 6a, 11, 11a, 11j, 11k, 11m, 11s, 15, 20, 20d, 20f, 21h, 22a, 22b, 22c, 22d, 22m, 24, 24a, 25f, 25g, 26a, 26b, 26c, 26d, 27a, 27b, 27c, 28, 31a, 31c, 31d, 31f, 31j, 31n, 31p, 31aa, 32d, 32n, 32p, 35a, 39, 39a, 41, 51a, 51c, 51d, 51e, 51g, 53a, 54, 54b, 54d, 56, 61a, 61b, 61c, 61d, 61i, 62, 65, 67, 74, 81, 94, 94a, 95b, 97, 97b, 97e, 98, 98c, 99h, 99s, 104, 104h, 107, 147, 147a, 147b, 147c, 147e, 152a & 152b of 1979 PA 94 (MCL 388.1604 et seq.) & adds secs. 22e, 31k, 32w & 35k.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0305 of 2023,Senate Bill,"Appropriations: higher education; appropriations for fiscal year 2023-2024; provide for. Amends secs. 236, 236b, 236c, 236h, 236j, 236k, 241, 245a, 248, 248a, 254, 263, 264, 265, 265b, 265f, 265g, 267, 268, 269, 270c, 274, 275f, 275g, 275h, 276, 277, 278, 279, 280, 281 & 282 of  1979 PA 94 (MCL 388.1836 et seq.) & adds secs. 275k, 275l, 275m & 275n.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0306 of 2023,Senate Bill,"Appropriations: community colleges; appropriations for fiscal year 2023-2024; provide for. Amends secs. 201, 202a, 206, 207a, 207b, 207c, 209a, 226b, 226d, 226g, 227, 227a, 229a & 230 of 1979 PA 94 (MCL 388.1801 et seq.); adds secs. 201d, 201f & 216c & repeals secs. 216, 216a & 216b of 1979 PA 94 (MCL 388.1816 et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0307 of 2023,Senate Bill,Appropriations: department of education; appropriations for fiscal year 2023-2024; provide for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0308 of 2023,Senate Bill,"Weapons: firearms; certain provisions regarding weapons; repeal. Amends secs. 231 & 237a of 1931 PA 328 (MCL 750.231 & 750.237a) & repeals secs. 227, 227a, 227c, 227d, 231a & 234d of 1931 PA 328 (MCL 750.227 et seq.).Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0309 of 2023,Senate Bill,"Weapons: firearms; 1927 PA 372; update references. Amends secs. 2, 2a, 5b, 5g, 5o, 12 & 15 of 1927 PA 372 (MCL 28.422 et seq.) & repeals sec. 5f of 1927 PA 327 (MCL 28.425f).  TIE BAR WITH: SB 0308'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0310 of 2023,Senate Bill,"Weapons: firearms; natural resources and environmental protection act; update references. Amends sec. 43510 of 1994 PA 451 (MCL 324.43510).  TIE BAR WITH: SB 0308'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0311 of 2023,Senate Bill,"Weapons: firearms; sentencing guidelines; update references. Amends sec. 12, ch. IX & secs. 11b & 16m, ch. XVII of 1927 PA 175 (MCL 769.12 et seq.).  TIE BAR WITH: SB 0308'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0312 of 2023,Senate Bill,"Weapons: firearms; corrections code of 1953; update references. Amends sec. 33b of 1953 PA 232 (MCL 791.233b).  TIE BAR WITH: SB 0308'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0313 of 2023,Senate Bill,"Weapons: firearms; Michigan retired law enforcement officer’s firearm carry act; update references. Amends secs. 7 & 12 of 2008 PA 537 (MCL 28.517 & 28.522).  TIE BAR WITH: SB 0308'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0314 of 2023,Senate Bill,"Construction: other; use of design-build constructing for certain school buildings; allow. Amends secs. 1, 1a & 2 of 1937 PA 306 (MCL 388.851 et seq.).Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0315 of 2023,Senate Bill,"Occupations: architects, professional engineers, and surveyors; design builder; exempt from certain requirements of a firm. Amends sec. 2010 of 1980 PA 299 (MCL 339.2010).  TIE BAR WITH: SB 0314'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0316 of 2023,Senate Bill,"State management: purchasing; definitional provisions in management and budget act; modify. Amends secs. 115, 241, 305 & 404 of 1984 PA 431 (MCL 18.1115 et seq.).  TIE BAR WITH: SB 0317'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0317 of 2023,Senate Bill,State management: purchasing; requirement for state contract preference to be awarded to Michigan-based companies; modify. Amends sec. 261 of 1984 PA 431 (MCL 18.1261).  TIE BAR WITH: SB 0316'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0318 of 2023,Senate Bill,Highways: memorial; portion of US-127; designate as the “Edward McQuaid Veterans Memorial Highway”. Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 111.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE
SB 0319 of 2023,Senate Bill,Appropriations: other; appropriation bill process; require legislators to submit to transparency. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 364.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0320 of 2023,Senate Bill,Legislature: legislators; appropriation bill process; require legislators to submit to transparency. Amends 1986 PA 268 (MCL 4.1101 - 4.1901) by adding sec. 104b.  TIE BAR WITH: SB 0319'23Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0321 of 2023,Senate Bill,"Criminal procedure: sentencing; resentencing upon petition of certain prisoners; provide process for. Amends secs. 12 & 25, ch. IX of 1927 PA 175 (MCL 769.12 & 769.25) & adds secs. 27a, 27b, 27c, 27d, 27e, 27f, 27g & 27h to ch. IX.Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0322 of 2023,Senate Bill,"Corrections: prisoners; corrections code of 1953; amend to reflect requirement for department of corrections to provide certain notification to prisoners. Amends secs. 33e & 34 of 1953 PA 232 (MCL 791.233e & 791.234) & adds sec. 34e.  TIE BAR WITH: SB 0321'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0323 of 2023,Senate Bill,"Crime victims: notices; crime victim's rights act; amend to reference rights of crime victims in certain prisoner resentencing. Amends secs. 13 & 41 of 1985 PA 87 (MCL 780.763 & 780.791).  TIE BAR WITH: SB 0321'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0324 of 2023,Senate Bill,"Criminal procedure: sentencing; penalties for certain crimes of imprisonment for life without parole eligibility; amend public health code to reflect potential resentencing. Amends sec. 17764 of 1978 PA 368 (MCL 333.17764).  TIE BAR WITH: SB 0321'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0325 of 2023,Senate Bill,"Crimes: penalties; penalties for certain crimes of imprisonment for life without parole eligibility; amend Michigan penal code to reflect potential resentencing. Amends secs. 16, 18, 200i, 204, 207, 209, 210, 211a, 227b, 316, 436, 520b & 543f of 1931 PA 328 (MCL 750.16 et seq.).  TIE BAR WITH: SB 0321'23Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY"
SB 0326 of 2023 (PA 94 of 2023),Senate Bill,Use tax: definitions; definitions; modify. Amends sec. 2 of 1937 PA 94 (MCL 205.92).Last Action: ASSIGNED PA 0094'23 WITH IMMEDIATE EFFECT
SB 0327 of 2023,Senate Bill,"Food: other; use of PFAS, bisphenols, and phthalates in food packaging; prohibit. Amends 2000 PA 92 (MCL 289.1101 - 289.8111) by adding sec. 5106.Last Action: REFERRED TO COMMITTEE ON ENERGY AND ENVIRONMENT"
SB 0328 of 2023 (PA 0098 of 2024),Senate Bill,Fire: other; certain battery and power source standards for certain smoke alarm devices; require. Creates new act.Last Action: ASSIGNED PA 0098'24
SB 0329 of 2023,Senate Bill,"Insurance: insurers; processing of a claim; modify duties. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding ch. 30B.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0330 of 2023 (PA 151 of 2023),Senate Bill,Property tax: exemptions; filing requirements for disabled veteran exemption; modify. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec.7c.  TIE BAR WITH: SB 0176'23Last Action: ASSIGNED PA 0151'23 WITH IMMEDIATE EFFECT
SB 0331 of 2023 (PA 176 of 2023),Senate Bill,"Property tax: exemptions; small business property tax exemption; modify application process. Amends secs. 9o, 19 & 30 of 1893 PA 206 (MCL 211.9o et seq.).  TIE BAR WITH: HB 4553'23, HB 4554'23Last Action: ASSIGNED PA 0176'23 WITH IMMEDIATE EFFECT"
SB 0332 of 2023,Senate Bill,Labor: leave; family leave optimal coverage benefits; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1)
SB 0333 of 2023,Senate Bill,Individual income tax: deductions; deduction for family leave optimal coverage benefits; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).  TIE BAR WITH: SB 0332'23Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0334 of 2023,Senate Bill,Health facilities: hospitals; development of a staffing plan for nurses; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 21525 & 21525a.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0335 of 2023,Senate Bill,Health facilities: hospitals; mandatory overtime for nurses; prohibit except under certain circumstances. Amends sec. 20165 of 1978 PA 368 (MCL 333.20165) & adds secs. 17233 & 21526.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0336 of 2023,Senate Bill,Health facilities: hospitals; record of direct care registered professional nurse-to-patient ratios for each unit for each shift; require hospitals to maintain. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525a.Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0337 of 2023 (PA 238 of 2023),Senate Bill,"Land use: other; certified survey map requirements; modify. Amends secs. 1, 2 & 3 of 1970 PA 132 (MCL 54.211 et seq.).Last Action: ASSIGNED PA 0238'23"
SB 0338 of 2023,Senate Bill,Counties: charter; election of county executive in a charter county; modify election schedule to the presidential election years. Amends 1966 PA 293 (MCL 45.501 - 45.521) by adding sec. 14b.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND ETHICS
SB 0339 of 2023 (PA 84 of 2023),Senate Bill,Elections: absent voters; absent voter ballot and application tracking system; create. Amends sec. 764c of 1954 PA 116 (MCL 168.764c).Last Action: ASSIGNED PA 0084'23
SB 0340 of 2023,Senate Bill,Human services: services or financial assistance; elderly emergency aid program; create. Amends 1981 PA 180 (MCL 400.581 - 400.594) by adding secs. 10a & 10b.Last Action: REFERRED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0341 of 2023,Senate Bill,"Vehicles: agricultural equipment; original equipment manufacturers of electronics-enabled agricultural equipment to provide certain parts, tools, and documentation to owners and independent repair providers; require. Creates new act.  TIE BAR WITH: SB 0342'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0342 of 2023,Senate Bill,"Vehicles: agricultural equipment; definitions for the agricultural equipment repair act; create. Creates new act.  TIE BAR WITH: SB 0341'23Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0343 of 2023,Senate Bill,"Consumer protection: other; guaranteed asset protection waiver act; modify and update to the motor vehicle financial protection products act. Amends title & secs. 1, 3, 5, 7, 9 & 11 of 2009 PA 229 (MCL 492.21 et seq.); adds secs. 3a, 4 & 9a & pts. 5 & 9; designates sec. 1 as pt. 1, sec. 3 as pt. 2, sec. 3a as pt. 3, secs. 4, 5, 7, 9 & 9a as pt. 4 & sec. 11 as pt. 6 & repeals sec. 13 of 2009 PA 229 (MCL 492.33).  TIE BAR WITH: SB 0344'23, SB 0345'23, SB 0346'23, SB 0347'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS"
SB 0344 of 2023,Senate Bill,Consumer protection: retail installment sales; retail installment sales act; revise reference to the guaranteed asset protection waiver act. Amends sec. 3 of 1966 PA 224 (MCL 445.853).  TIE BAR WITH: SB 0343'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0345 of 2023,Senate Bill,Trade: vehicles; motor vehicle sales finance act; revise reference to the guaranteed asset protection waiver act. Amends sec. 13 of 1950 (Ex Sess) PA 27 (MCL 492.113).  TIE BAR WITH: SB 0343'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0346 of 2023,Senate Bill,Insurance: other; insurance code exceptions; revise reference to the guaranteed asset protection waiver act. Amends sec. 127 PA 1956 PA 218 (MCL 500.127).  TIE BAR WITH: SB 0343'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0347 of 2023,Senate Bill,Consumer protection: other; enforcement of the motor vehicle financial protection products act; provide for under the consumer protection act. Amends sec. 3 of 1976 PA 331 (MCL 445.903).  TIE BAR WITH: SB 0343'23Last Action: REFERRED TO COMMITTEE ON REGULATORY AFFAIRS
SB 0348 of 2023,Senate Bill,Mental health: children; conversion therapy; prohibit. Amends 1974 PA 258 (MCL 330.1001 - 330.2106) by adding sec. 901a.  TIE BAR WITH: SB 0349'23Last Action: REASSIGNED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0349 of 2023,Senate Bill,Mental health: other; definition of conversion therapy; provide for. Amends sec. 100a of 1974 PA 258 (MCL 330.1100a).  TIE BAR WITH: SB 0348'23Last Action: REASSIGNED TO COMMITTEE ON HOUSING AND HUMAN SERVICES
SB 0350 of 2023 (PA 0099 of 2024),Senate Bill,Higher education: financial aid; qualified educational expenses under the promise zone authority act; modify. Amends sec. 3 of 2008 PA 549 (MCL 390.1663).Last Action: ASSIGNED PA 0099'24 WITH IMMEDIATE EFFECT
SB 0351 of 2023 (PA 130 of 2024),Senate Bill,Civil rights: other; public breastfeeding antidiscrimination act; expand to protect public expression of human milk. Amends title & sec. 2 of 2014 PA 197 (MCL 37.232).Last Action: ASSIGNED PA 0130'24 WITH IMMEDIATE EFFECT
SB 0352 of 2023,Senate Bill,Vehicles: registration plates; next of kin special registration plate; create. Amends sec. 803e of 1949 PA 300 (MCL 257.803e).Last Action: referred to Committee on Government Operations
SB 0353 of 2023 (PA 170 of 2024),Senate Bill,"Human services: services or financial assistance; Michigan energy assistance act; modify. Amends secs. 2, 4 & 5 of 2012 PA 615 (MCL 400.1232 et seq.) and adds sec. 4a  TIE BAR WITH: SB 0880'24, SB 0881'24, HB 6075'24Last Action: ASSIGNED PA 0170'24"
SB 0354 of 2023,Senate Bill,Education: teachers and administrators; teacher licensing examination; modify. Amends sec. 1531 of 1976 PA 451 (MCL 380.1531).Last Action: referred to Committee on Education
