Document,Type,Description
SB 0271 of 2021,Senate Bill,Public utilities: water utilities; water shutoff protection act; enact. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0272 of 2021,Senate Bill,Property tax: tax tribunal; methods for tax tribunal to hold small claims hearings; expand to include telephonically or by videoconferencing. Amends sec. 62 of 1973 PA 186 (MCL 205.762).Last Action: placed on second reading
SB 0273 of 2021,Senate Bill,Elections: election officials; regulation of absent voter ballot drop boxes; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 761e & repeals sec. 761d of 1954 PA 116 (MCL 168.761d).Last Action: referred to second reading
SB 0274 of 2021,Senate Bill,Elections: registration; preregistration to vote at age 16; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 496a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0275 of 2021,Senate Bill,"Elections: audits; use of video recording devices to record election audit proceedings; authorize, and allow live video coverage of the tabulation of ballots. Amends secs. 31a & 765a of 1954 PA 116 (MCL 168.31a & 168.765a) & adds sec. 801b.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0276 of 2021,Senate Bill,"Elections: other; election inspectors, election challengers, and poll watchers photographing and videotaping the tabulating of votes; authorize. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 801a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0277 of 2021,Senate Bill,"Elections: election officials; county clerks to update the qualified voter file to cancel the voter registration records of deceased voters; require, require electronic notification to city and township clerks of canceled voter registration records, and require the secretary of state to post data on the department's website regarding canceled voter registration records. Amends secs. 509o & 510 of 1954 PA 116 (MCL 168.509o & 168.510).Last Action: POSTPONED FOR THE DAY"
SB 0278 of 2021,Senate Bill,Elections: absent voters; collection procedures for absent voter ballots deposited in an absent voter ballot drop box; modify. Amends sec. 761d of 1954 PA 116 (MCL 168.761d).  TIE BAR WITH: SB 0273'21Last Action: referred to second reading
SB 0279 of 2021,Senate Bill,"Elections: absent voters; absent voter counting boards; modify, and revise number of challengers allowed under certain circumstances. Amends secs. 730 & 764d of 1954 PA 116 (MCL 168.730 & 168.764d).Last Action: referred to Committee on Elections and Ethics"
SB 0280 of 2021,Senate Bill,Elections: initiative and referendum; time frame for the board of state canvassers to complete the canvass of an initiative petition; provide for and clarify. Amends secs. 471 & 477 of 1954 PA 116 (MCL 168.471 & 168.477).Last Action: POSTPONED FOR THE DAY
SB 0281 of 2021,Senate Bill,Elections: election officials; secretary of state to obtain information from recognized multistate programs to update voter registration records and submit reports; require. Amends sec. 509o of 1954 PA 116 (MCL 168.509o).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0282 of 2021,Senate Bill,Elections: qualified voter file; access to the qualified voter file; clarify. Amends sec. 509r of 1954 PA 116 (MCL 168.509r).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0283 of 2021,Senate Bill,Elections: absent voters; pre-processing of absent voter ballots; authorize. Amends secs. 24k & 765 of 1954 PA 116 (MCL 168.24k & 168.765).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0284 of 2021,Senate Bill,"Elections: election officials; receipt of private money to be used for election related activities and election related equipment; prohibit, and require the secretary of state to report to the legislature on contracts for election related activities. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding secs. 31b & 946.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0285 of 2021,Senate Bill,"Elections: absent voters; identification for election purposes to obtain an absent voter ballot; require, and require a provisional ballot be issued to absent voters without identification for election purpose. Amends secs. 759, 759a, 759b & 761 of 1954 PA 116 (MCL 168.759 et seq.).Last Action: referred to Committee on Elections and Ethics"
SB 0286 of 2021,Senate Bill,Elections: absent voters; deadline to submit absent voter ballots to an absent voter ballot drop box; provide for. Amends secs. 761d & 764a of 1954 PA 116 (MCL 168.761d & 168.764a).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0287 of 2021,Senate Bill,Elections: election officials; prepaid postage on absent voter ballot return envelopes; prohibit. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 763.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0288 of 2021,Senate Bill,"Elections: audits; election inspectors for an election audit; require, allow political party observers at an election audit, and require the secretary of state to live video stream an election audit. Amends sec. 31a of 1954 PA 116 (MCL 168.31a).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0289 of 2021,Senate Bill,Elections: other; requirement for certain federal election-related funding; require a majority vote in each chamber. Amends sec. 453 of 1984 PA 431 (MCL 18.453).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0290 of 2021,Senate Bill,"Elections: challengers; certain requirements for election challengers; provide for, and limit the entities that can designate election challengers. Amends sec. 730 of 1954 PA 116 (MCL 168.730) & repeals sec. 731 of 1954 PA 116 (MCL 168.731).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0291 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for certain Michigan election law violations dealing with challengers; repeal. Amends sec. 11d, ch. XVII of 1927 PA 175 (MCL 777.11d).  TIE BAR WITH: SB 0290'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0292 of 2021,Senate Bill,"Elections: challengers; training for election challengers; require, and require the secretary of state to establish election challenger training curriculum. Amends secs. 31 & 730 of 1954 PA 116 (MCL 168.31 & 168.730); adds sec. 730a & repeals sec. 731 of 1954 PA 116 (MCL 168.731).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-2)"
SB 0293 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for certain Michigan election law violations dealing with challengers; repeal. Amends sec. 11d, ch. XVII of 1927 PA 175 (MCL 777.11d).  TIE BAR WITH: SB 0292'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0294 of 2021,Senate Bill,Elections: election officials; report regarding the appointment of an equal number of election inspectors from each major political party in each precinct; require under certain circumstances. Amends sec. 674 of 1954 PA 116 (MCL 168.674).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0295 of 2021,Senate Bill,Elections: election officials; election inspectors to conduct regular balancing checks on precinct tabulators during election day; require. Amends sec. 33 of 1954 PA 116 (MCL 168.33).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0296 of 2021,Senate Bill,"Elections: canvassing; number of members on a board of county canvassers based on population; provide for. Amends secs. 24a, 24c, 24e & 307 of 1954 PA 116 (MCL 168.24a et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0297 of 2021,Senate Bill,"Elections: canvassing; board of county canvassers approving assistants employed for canvassing; require, and require at least one member of the board of county canvassers from each major political party be present when canvassing the returns of votes. Amends sec. 24e of 1954 PA 116 (MCL 168.24e).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0298 of 2021,Senate Bill,"Elections: election officials; deadline for certificate of determination by board of county canvassers; extend. Amends secs. 201, 581, 822 & 842 of 1954 PA 116 (MCL 168.201 et seq.).Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0299 of 2021,Senate Bill,Elections: election officials; deadline for reporting of election results; extend. Amends sec. 809 of 1954 PA 116 (MCL 168.809).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0300 of 2021,Senate Bill,Elections: voting procedures; early voting; provide for. Amends secs. 720 & 735 of 1954 PA 116 (MCL 168.720 & 116.735) & adds sec. 720a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0301 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for certain early voting violations under the Michigan election law; provide for. Amends sec. 11d, ch. XVII of 1927 PA 175 (MCL 777.11d).  TIE BAR WITH: SB 0300'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0302 of 2021,Senate Bill,Elections: registration; voter registration application; modify to include a statement that it is a felony to vote or offer to vote more than once at the same election. Amends sec. 495 of 1954 PA 116 (MCL 168.495).Last Action: POSTPONED FOR THE DAY
SB 0303 of 2021,Senate Bill,"Elections: voting procedures; provisional ballot process; modify, require providing identification to obtain an absent voter ballot, prohibit the sending of unsolicited absent voter ballot applications to electors, and require elections to be funded with public money. Amends secs. 495, 523, 759, 759a, 759b, 761, 764b, 813 & 829 of 1954 PA 116 (MCL 168.495 et seq.) & adds secs. 760a & 946.Last Action: POSTPONED FOR THE DAY"
SB 0304 of 2021,Senate Bill,Elections: election officials; notice to a voter who votes a provisional ballot concerning the burden of proof to verify his or her identity to have the provisional ballot tabulated and his or her ability to obtain an official state personal identification card without a fee; require. Amends sec. 523a of 1954 PA 116 (MCL 168.523a).  TIE BAR WITH: SB 0303'21Last Action: POSTPONED FOR THE DAY
SB 0305 of 2021,Senate Bill,"Elections: other; publication of the name or likeness of the secretary of state, a county clerk, or a local clerk on a communication related to certain election activities; prohibit. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 931b.Last Action: REFERRED TO COMMITTEE ON ELECTIONS"
SB 0306 of 2021,Senate Bill,"Elections: election officials; secretary of state to prepare a report regarding clerks who are not current with training; require, and require secretary of state to post the report on the department of state website. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 33a.Last Action: referred to Committee on Elections and Ethics"
SB 0307 of 2021,Senate Bill,Elections: ballot proposals; providing the full text of a ballot proposal to a voter or absent voter; require. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding secs. 736h & 763a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0308 of 2021,Senate Bill,"Elections: election officials; signature verification training for clerks and election inspectors; require, and require the secretary of state to promulgate rules regarding an objective signature verification process. Amends sec. 31 of 1954 PA 116 (MCL 168.31).Last Action: referred to Committee on Elections and Ethics"
SB 0309 of 2021,Senate Bill,Elections: challengers; rights of poll challengers and poll watchers; provide for. Amends sec. 733 of 1954 PA 116 (MCL 168.733) & adds sec. 734a.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0310 of 2021,Senate Bill,Elections: absent voters; prohibition for secretary of state from sending or providing absent voter ballot applications to electors; provide for. Amends sec. 759 of 1954 PA 116 (MCL 168.759).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0311 of 2021 (PA 0197 of 2022),Senate Bill,Elections: absent voters; electronic return of absent voter ballots by military voters using Department of Defense Common Access Cards; allow. Amends sec. 759a of 1954 PA 116 (MCL 168.759a) .  TIE BAR WITH: SB 0008'21Last Action: ASSIGNED PA 0197'22 WITH IMMEDIATE EFFECT
SB 0312 of 2021 (PA 26 of 2021),Senate Bill,"Occupations: individual licensing and registration; licensing reciprocity for certain occupations for veterans, members of the armed forces, members of the uniformed services, and their dependents who hold an out-of-state license; provide for. Amends secs. 103, 104, 105, 213 & 2404b of 1980 PA 299 (MCL 339.103 et seq.) & adds sec. 217.  TIE BAR WITH: HB 4376'21, HB 4377'21Last Action: ASSIGNED PA 0026'21 WITH IMMEDIATE EFFECT"
SB 0313 of 2021,Senate Bill,Elections: absent voters; permanent absent voter list; require. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 759e.Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0314 of 2021,Senate Bill,Insurance: no-fault; medical treatment benefits; revise reimbursement provisions for rehabilitation clinics. Amends sec. 3157 of 1956 PA 218 (MCL 500.3157).Last Action: REFERRED TO COMMITTEE ON INSURANCE AND BANKING
SB 0315 of 2021,Senate Bill,Occupations: securities; notification and temporary hold on certain account disbursements for the protection of certain adults by broker-dealers and investment advisors; allow. Amends title of 2008 PA 551 (MCL 451.2101 - 451.2703) & adds art. 5A.Last Action: referred to second reading
SB 0316 of 2021,Senate Bill,Corrections: other; public meeting in certain communities and reporting of information; require before a correctional facility closure. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 20.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0317 of 2021,Senate Bill,Civil rights: public records; mandatory website disclosure of state records regarding COVID-19 pandemic; provide for Amends 1976 PA 442 (MCL 15.231 - 15.246) by adding sec. 12.Last Action: REFERRED TO COMMITTEE ON OVERSIGHT
SB 0318 of 2021,Senate Bill,Education: curriculum; algebra II requirement; eliminate. Amends secs. 1278a & 1278b of 1976 PA 451 (MCL 380.1278a & 380.1278b).Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0319 of 2021,Senate Bill,Water supply: quality and standards; strategic water quality initiative loan program and fund; modify. Amends secs. 5202 & 5301 of 1994 PA 451 (MCL 324.5202 & 324.5301).  TIE BAR WITH: SB 0320'21Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1)
SB 0320 of 2021,Senate Bill,Water supply: quality and standards; strategic water quality initiative fund; modify. Amends sec. 19708 of 1994 PA 451 (MCL 324.19708).  TIE BAR WITH: SB 0319'21Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0321 of 2021,Senate Bill,Education: teachers; development or adoption of professional development standards for teachers on mental health first aid; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1526b.Last Action: referred to Committee on Education
SB 0322 of 2021,Senate Bill,"Labor: fair employment practices; commission on pay equity; establish, and specify duties. Amends 1976 PA 453 (MCL 37.2101 - 37.2804) by adding sec. 202b.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT"
SB 0323 of 2021,Senate Bill,"Civil rights: employment discrimination; actions for unequal pay; increase damages, and modify accrual date of claims. Amends sec. 801 of 1976 PA 453 (MCL 37.2801).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT"
SB 0324 of 2021,Senate Bill,Labor: fair employment practices; disclosure of certain wage information upon request; require of employer. Amends sec. 13a of 1978 PA 390 (MCL 408.483a).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0325 of 2021,Senate Bill,Labor: hours and wages; employment discrimination; prohibit employers from engaging in certain discriminatory practices and allow remedies under Elliott-Larsen civil rights act. Amends secs. 9 & 13 of 2018 PA 337 (MCL 408.939 & 408.943).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0326 of 2021,Senate Bill,"Crimes: other; provision regarding wage discrimination based on sex; modify, and increase fines. Amends sec. 556 of 1931 PA 328 (MCL 750.556).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT"
SB 0327 of 2021,Senate Bill,Labor: fair employment practices; notice of employment discrimination website and telephone line; require employers to post. Amends sec. 602 of 1976 PA 453 (MCL 37.2602) & adds sec. 202b.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0328 of 2021,Senate Bill,Labor: fair employment practices; written job descriptions; require for companies with more than 5 employees. Amends title of 1978 PA 397 (MCL 423.501 & 423.512) & adds sec. 9a.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0329 of 2021,Senate Bill,Civil rights: employment discrimination; prohibited employment discrimination practices; expand to include asking a job applicant about past compensation. Amends sec. 202 of 1976 PA 453 (MCL 37.2202).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0330 of 2021,Senate Bill,Labor: fair employment practices; wage disparity for men and women; require state report and plan to reduce. Amends sec. 3 of 1978 PA 609 (MCL 408.9803).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0331 of 2021,Senate Bill,Civil rights: employment discrimination; pay equity in the workplace award program; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0332 of 2021,Senate Bill,Labor: hours and wages; pay equity compliance certification; require for private businesses that contract with the state. Amends sec. 209 of 1976 PA 453 (MCL 37.2209) & adds sec. 209a.Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0333 of 2021,Senate Bill,Labor: fair employment practices; deductions from wages without written consent of employee; revise notice period for certain deductions related to garnishment. Amends sec. 7 of 1978 PA 390 (MCL 408.477).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0334 of 2021,Senate Bill,Elections: absent voters; pre-processing of absent voter ballots; allow. Amends secs. 24k & 765 of 1954 PA 116 (MCL 168.24k & 168.765).Last Action: REFERRED TO COMMITTEE ON ELECTIONS
SB 0335 of 2021,Senate Bill,Health: diseases; exemption for high school commencement ceremonies from emergency orders issued to control an epidemic; provide for under certain circumstances. Amends secs. 2253 & 2453 of 1978 PA 368 (MCL 333.2253 & 333.2453). Last Action: referred to Committee on Education
SB 0336 of 2021,Senate Bill,Civil procedure: other; video recordings of court proceedings; provide for availability and review. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 1429.Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0337 of 2021,Senate Bill,"Law enforcement: investigations; domestic violence incident report; modify. Amends sec. 15c, ch. IV of 1927 PA 175 (MCL 764.15c).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY"
SB 0338 of 2021,Senate Bill,Appropriations: supplemental; multiple departments; provide supplemental appropriations for. Creates appropriation act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0339 of 2021,Senate Bill,"Construction: asbestos; public contracts for asbestos abatement projects; require under certain circumstances background investigation, public posting of certain information, and public hearings. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY"
SB 0340 of 2021,Senate Bill,Construction: asbestos; public contracts for asbestos abatement projects; require disclosure of environmental violations. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0341 of 2021,Senate Bill,Environmental protection: air pollution; asbestos emissions program; impose fee on notification of demolition or renovation. Amends 1994 PA 451 (MCL 324.101 - 324.90106) & adds secs. 5519 & 5519a.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0342 of 2021,Senate Bill,Public utilities: water utilities; human right to water act; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0343 of 2021,Senate Bill,Public utilities: water utilities; water shutoff protection act; enact. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0344 of 2021,Senate Bill,"Human services: services or financial assistance; water rate affordability program; create. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding secs. 14n, 14o, 14p & 14q.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY"
SB 0345 of 2021,Senate Bill,"Public utilities: water utilities; annual water rate disclosure; require, and provide specific information regarding shut-off statistics. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY"
SB 0346 of 2021,Senate Bill,Criminal procedure: other; violation of tampering with utility shut-off procedures; decriminalize under certain circumstances. Amends title & secs. 282 & 383a of 1931 PA 328 (MCL 750.282 & 750.383a).Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0347 of 2021,Senate Bill,"Criminal procedure: sentencing guidelines; sentencing guidelines for tampering with utility shutoff to residence; amend to reflect decriminalization of certain acts. Amends secs. 16o & 16s, ch. XVII of 1927 PA 175 (MCL 777.16o & 777.16s).  TIE BAR WITH: SB 0346'21Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY"
SB 0348 of 2021,Senate Bill,"Local government: water and sewer; municipality billing requirements for water or sewerage service; provide for, require municipalities to adopt a written dispute resolution process for disputed water or sewerage service bills, and require municipalities to monitor for customer water leaks. Amends title & sec. 6 of 1939 PA 178 (MCL 123.166) & adds secs. 1a, 1b, 1c, 1d & 1e.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT"
SB 0349 of 2021,Senate Bill,Individual income tax: credit; child and dependent care credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 275.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0350 of 2021,Senate Bill,Individual income tax: credit; credit for payment of certain student loans; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding secs. 277 & 677.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0351 of 2021,Senate Bill,Traffic control: traffic regulation; vehicles to move over and slow down when passing farm equipment being repaired on the roadside; require. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 653c.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0352 of 2021,Senate Bill,Weapons: firearms; local preemption for firearm regulations inside municipal buildings; eliminate. Amends sec. 3 of 1990 PA 319 (MCL 123.1103).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0353 of 2021,Senate Bill,"Food: licensing; waiver for licensing and registration fees for certain food establishments, water bottlers, and water dispensing machine owners for the 2021 to 2022 licensing year; provide for. Amends secs. 3119, 4111 & 4115 of 2000 PA 92 (MCL 289.3119 et seq.).  TIE BAR WITH: SB 0354'21Last Action: referred to Committee on Regulatory Reform"
SB 0354 of 2021,Senate Bill,Health: local health departments; waiver for licensing fees for certain food establishments for the 2021 to 2022 licensing year; provide for. Amends sec. 2444 of 1978 PA 368 (MCL 333.2444).   TIE BAR WITH: SB 0353'21Last Action: referred to Committee on Regulatory Reform
SB 0355 of 2021,Senate Bill,Fireworks: use; use of fireworks on the days leading up to and after Juneteenth; allow. Amends sec. 7 of 2011 PA 256 (MCL 28.457).  TIE BAR WITH: SB 0074'21Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0356 of 2021,Senate Bill,Courts: circuit court; twenty-fifth circuit court; restore judgeship. Amends sec. 526 of 1961 PA 236 (MCL 600.526).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0357 of 2021,Senate Bill,"Health: other; violence prevention program; require health facilities and local health departments to establish. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 2468, 2468a, 20195 & 20195a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES"
SB 0358 of 2021,Senate Bill,Environmental protection: pollution prevention; plastic bags and other containers; repeal act preempting local regulation of. Repeals 2016 PA 389 (MCL 445.591 - 445.593).Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0359 of 2021,Senate Bill,Individual income tax: retirement or pension benefits; deduction for individuals who have reached the age of 67; increase. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0360 of 2021,Senate Bill,Individual income tax: credit; employer-assisted housing credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding secs. 279 & 678.  TIE BAR WITH: SB 0361'21Last Action: referred to Committee on Local Government and Municipal Finance
SB 0361 of 2021,Senate Bill,Individual income tax: other; certification of credits by Michigan state housing development authority; authorize. Amends title & sec. 22 of 1966 PA 346 (MCL 125.1422) & adds sec. 22e.  TIE BAR WITH: SB 0360'21Last Action: referred to Committee on Local Government and Municipal Finance
SB 0362 of 2021 (PA 0236 of 2022),Senate Bill,Taxation: specific tax; attainable housing facilities; create. Creates new act.Last Action: ASSIGNED PA 0236'22 WITH IMMEDIATE EFFECT
SB 0363 of 2021,Senate Bill,Construction: code; advisory committees for certain building codes; create. Amends sec. 4 of 1972 PA 230 (MCL 125.1504).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0364 of 2021 (PA 0238 of 2022),Senate Bill,"Economic development: neighborhood enterprise zones; use of neighborhood enterprise zones; expand incentives. Amends secs. 2, 3, 6 & 10 of 1992 PA 147 (MCL 207.772 et seq.).Last Action: ASSIGNED PA 0238'22"
SB 0365 of 2021,Senate Bill,School aid: supplemental; allocation of certain remaining Title I funds from the CARES stimulus package to schools; provide for. Amends sec. 11r of 1979 PA 94 (MCL 388.1611r).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0366 of 2021,Senate Bill,Individual income tax: deductions; definition of dependent; include fetus. Amends sec. 8 of 1967 PA 281 (MCL 206.8).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0367 of 2021,Senate Bill,Mental health: children; conversion therapy; prohibit. Amends 1974 PA 258 (MCL 330.1001 - 330.2106) by adding sec. 901a.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES
SB 0368 of 2021,Senate Bill,Retirement: state employees; allowing retirants to work for the Michigan unemployment insurance agency without forfeiting retirement benefits; extend sunset. Amends sec. 68c of 1943 PA 240 (MCL 38.68c).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT
SB 0369 of 2021,Senate Bill,Education: curriculum; certain elementary music and art instruction requirements; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1160.Last Action: REFERRED TO COMMITTEE ON EDUCATION AND CAREER READINESS
SB 0370 of 2021,Senate Bill,Environmental protection: hazardous products; glyphosate herbicide; prohibit certain residential uses of. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding subpt. 3 to pt. 147.Last Action: REFERRED TO COMMITTEE ON ENVIRONMENTAL QUALITY
SB 0371 of 2021,Senate Bill,Criminal procedure: records; child abuse offenders registry; create. Creates new act.Last Action: referred to Committee on Judiciary
SB 0372 of 2021 (PA 69 of 2021),Senate Bill,Communications: telecommunications; requirement for distribution of printed directory; modify. Amends sec. 309 of 1991 PA 179 (MCL 484.2309).Last Action: ASSIGNED PA 0069'21 WITH IMMEDIATE EFFECT
SB 0373 of 2021,Senate Bill,Criminal procedure: defenses; defense to criminal sexual conduct charges based solely on mental incapacitation of the victim if the victim is the actor's spouse; repeal. Amends sec. 520l of 1931 PA 328 (MCL 750.520l).Last Action: REFERRED TO COMMITTEE ON JUDICIARY AND PUBLIC SAFETY
SB 0374 of 2021,Senate Bill,"Transportation: school vehicles; school bus stop-arm cameras; allow. Amends sec. 5 of 1990 PA 187 (MCL 257.1805) & adds sec. 32.  TIE BAR WITH: SB 0377'21, SB 0376'21Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0375 of 2021,Senate Bill,Law enforcement: training; law enforcement agencies that fund police training for recruits; allow agreements requiring reimbursement in certain situations. Amends sec. 8 of 1978 PA 390 (MCL 408.478).Last Action: PLACED ON ORDER OF THIRD READING
SB 0376 of 2021,Senate Bill,"Traffic control: civil infraction procedures; revised judicature act; revise to reflect distribution of certain fines to school districts. Amends secs. 8379 & 8396 of 1961 PA 236 (MCL 600.8379 & 600.8396).  TIE BAR WITH: SB 0377'21, SB 0374'21Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0377 of 2021,Senate Bill,"Transportation: school vehicles; school bus stop-arm cameras; allow, and provide civil sanctions for violations. Amends secs. 682, 907 & 909 of 1949 PA 300 (MCL 257.682 et seq.).  TIE BAR WITH: SB 0376'21, SB 0374'21Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE"
SB 0378 of 2021,Senate Bill,Individual income tax: credit; qualified child tax credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 254.Last Action: referred to Committee on Tax Policy
SB 0379 of 2021,Senate Bill,Transportation: authorities; transportation bonding authority; require legislative approval for issuance of bonds. Amends sec. 18b of 1951 PA 51 (MCL 247.668b). Last Action: referred to Committee on Transportation
