Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0385 of 2011,Senate Bill,Income tax; credit; tax incentive for college degree; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 281.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0386 of 2011,Senate Bill,Crimes; other; making false representation about military status; prohibit under certain circumstances and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 286.Last Action: referred to Committee on Judiciary
SB 0387 of 2011,Senate Bill,Crimes; fleeing and eluding; penalties for crime of fleeing and eluding a law enforcement officer; provide mandatory minimum sentence. Amends sec. 479a of 1931 PA 328 (MCL 750.479a).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 0388 of 2011 (PA 0323 of 2012),Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of fleeing and eluding a peace officer; revise crime class to increase minimum sentence ranges. Amends sec. 16x, ch. XVII of 1927 PA 175 (MCL 777.16x).Last Action: ASSIGNED PA 0323'12 WITH IMMEDIATE EFFECT"
SB 0389 of 2011,Senate Bill,Vehicles; registration plates; specialty plate for the Michigan breast and cervical cancer control program; provide for. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0390 of 2011,Senate Bill,Health facilities; certificate of need; minimum volume requirements or volume projections by vascular access center applicant for certificate of need; clarify. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 22216.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0391 of 2011,Senate Bill,Property tax; classification; wind energy system; classify as real property. Amends secs. 2 & 8 of 1893 PA 206 (MCL 211.2 & 211.8).Last Action: REASSIGNED TO COMMITTEE ON FINANCE
SB 0392 of 2011,Senate Bill,"Environmental protection; sewage; land application of septage waste; preempt certain local restrictions. Amends sec. 11715 of 1994 PA 451 (MCL 324.11715).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0393 of 2011 (PA 0136 of 2012),Senate Bill,Corrections; jails; population requirement for municipalities eligible to seek reimbursement from inmates; remove. Amends sec. 2 of 2006 PA 88 (MCL 801.312).Last Action: ASSIGNED PA 0136'12 WITH IMMEDIATE EFFECT
SB 0394 of 2011,Senate Bill,Labor; other; information for employees regarding earned income tax credit; require employers to provide. Creates new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0395 of 2011,Senate Bill,Counties; boards and commissions; act authorizing a county to levy a special tax or appropriate from the county general fund for the purpose of advertising agricultural advantages; repeal. Repeals 1913 PA 88 (MCL 46.161).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0396 of 2011 (PA 0220 of 2011),Senate Bill,"Higher education; private schools; charter of Albion college; revise composition of board and liability of trustees and other persons. Amends sec. 2 of 1857 PA 72 (MCL 390.702); adds secs. 1a, 7, 7a, 7b & 7c & repeals secs. 4 & 8 of 1857 PA 72 (MCL 390.704 & 390.708).Last Action: ASSIGNED PA 0220'11 WITH IMMEDIATE EFFECT"
SB 0397 of 2011,Senate Bill,"Labor; arbitration; procedures for arbitration of police and fire labor disputes; revise. Amends secs. 2, 3, 5, 6, 8, 9 & 10 of 1969 PA 312 (MCL 423.232 et seq.).Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
SB 0398 of 2011 (PA 0072 of 2011),Senate Bill,Civil procedure; foreclosure; mortgage loan modification negotiation program; extend sunset. Amends secs. 3204 & 3205e of 1961 PA 236 (MCL 600.3204 & 600.3205e).Last Action: ASSIGNED PA 0072'11 WITH IMMEDIATE EFFECT
SB 0399 of 2011,Senate Bill,Liquor; licenses; requirement for certain licensed premises to install a breathalyzer machine; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 1026.Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 0400 of 2011,Senate Bill,Education; school districts; school district to be policyholder for group insurance benefit provided for employees; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1255a.Last Action: referred to Committee on Education
SB 0401 of 2011,Senate Bill,State financing and management; purchasing; payment of transportation construction contracts within certain time frame; require. Amends sec. 7a of 1964 PA 286 (MCL 247.807a) & adds sec. 7b..Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0402 of 2011 (PA 0354 of 2012),Senate Bill,"Occupations; physicians; voluntary reporting to secretary of state patients with conditions that affect ability to operate a motor vehicle; allow, and provide for immunity. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 5139.  TIE BAR WITH: SB 0403'11Last Action: ASSIGNED PA 0354'12 WITH IMMEDIATE EFFECT"
SB 0403 of 2011 (PA 0355 of 2012),Senate Bill,Traffic control; driver license; examination regarding existence of certain medical condition affecting applicant's ability to operate safely; revise and clarify. Amends sec. 309 of 1949 PA 300 (MCL 257.309).  TIE BAR WITH: SB 0402'11Last Action: ASSIGNED PA 0355'12 WITH IMMEDIATE EFFECT
SB 0404 of 2011,Senate Bill,"Human services; medical services; medicaid estate recovery program; revise. Amends secs. 112g, 112h, 112i, 112j & 112k of 1939 PA 280 (MCL 400.112g et seq.).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0405 of 2011,Senate Bill,Records; death; filing of death record by funeral director; require to be submitted to Michigan medicaid estate recovery unit. Amends sec. 2843 of 1978 PA 368 (MCL 333.2843).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0406 of 2011,Senate Bill,Probate; wills and estates; property in possession of person indebted to the decedent; allow state to collect under Medicaid estate recovery. Amends sec. 3983 of 1998 PA 386 (MCL 700.3983).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0407 of 2011,Senate Bill,"Retirement; state employees; creation of individual health reimbursement accounts; amend the health care funding act to accommodate. Amends title & secs. 1, 2, 3, 4, 8, 10, 11 & 14 of 2010 PA 77 (MCL 38.2731 et seq.) & adds secs. 2a, 2b & 10a.  TIE BAR WITH: SB 0408'11Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0408 of 2011,Senate Bill,"Retirement; state employees; option to remain in Tier 1 defined benefit system and make contributions; provide to current members and provide for health reimbursement account transfers in lieu of health coverage premiums for Tier 2 defined contribution participants. Amends secs. 1b, 20, 27, 35, 38, 47, 48, 49, 50, 55, 64, 65, 67a, 68 & 68c of 1943 PA 240 (MCL 38.1b et seq.) & adds secs. 20j, 35a, 50a, 68b & 68e.  TIE BAR WITH: SB 0407'11Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0409 of 2011 (PA 0597 of 2012),Senate Bill,Income tax; deductions; certain pension income; modify. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: ASSIGNED PA 0597'12 WITH IMMEDIATE EFFECT
SB 0410 of 2011,Senate Bill,Transportation; funds; a new international bridge crossing act; create. Creates & repeals new act.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0411 of 2011,Senate Bill,Transportation; authorities; authority created under the new international bridge crossing act; include as an eligible governmental agency under the state trunk line highway system act. Amends sec. 10c of 1951 PA 51 (MCL 247.660c).  TIE BAR WITH: SB 0410'11Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0412 of 2011 (PA 0081 of 2012),Senate Bill,Natural resources; hunting; wild turkey license fee; modify use. Amends sec. 43524 of 1994 PA 451 (MCL 324.43524).Last Action: ASSIGNED PA 0081'12 WITH IMMEDIATE EFFECT
SB 0413 of 2011,Senate Bill,Retirement; state employees; prohibition of receiving retirement allowance if return to state service; remove for certain child welfare employees. Amends sec. 68c of 1943 PA 240 (MCL 38.68c).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1
SB 0414 of 2011 (PA 0099 of 2012),Senate Bill,"Insurance; health care corporations; coverage for certain treatment related to autism; provide for. Amends 1980 PA 350 (MCL 550.1101 - 550.1704) by adding sec. 416e.  TIE BAR WITH: SB 0415'11, SB 0981'12Last Action: ASSIGNED PA 0099'12 WITH IMMEDIATE EFFECT"
SB 0415 of 2011 (PA 0100 of 2012),Senate Bill,"Insurance; health; coverage for certain treatment related to autism; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.  TIE BAR WITH: SB 0414'11, SB 0981'12Last Action: ASSIGNED PA 0100'12 WITH IMMEDIATE EFFECT"
SB 0416 of 2011,Senate Bill,"Courts; judges; circuit court and district court judges; reduce in number. Amends secs. 504, 810a, 8121, 8150 & 8176 of 1961 PA 236 (MCL 600.504 et seq.).Last Action: referred to Committee on Judiciary"
SB 0417 of 2011,Senate Bill,Consumer protection; unfair trade practices; application of Michigan consumer protection act to acts permitted by law and certain acts prohibited by insurance code of 1956; clarify and revise. Amends sec. 4 of 1976 PA 331 (MCL 445.904).Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0418 of 2011,Senate Bill,Health; medical marihuana; permissible causes of action under the medical marihuana law; clarify. Amends sec. 7 of 2008 IL 1 (MCL 333.26427).Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0419 of 2011,Senate Bill,Education; financing; school district's permissible use of sinking funds; expand to include school buses and technology. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0420 of 2011,Senate Bill,Health; abortion; physician activity regarding abortions induced by use of prescription drugs; regulate. Amends secs. 16221 & 16299 of 1978 PA 368 (MCL 333.16221 & 333.16299) & adds secs. 17017 & 17517.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0421 of 2011,Senate Bill,Trade; hazardous substances; addition of bittering agent to antifreeze; require. Creates new act.Last Action: REFERRED TO COMMITTEE OF THE WHOLE
SB 0422 of 2011 (PA 0090 of 2011),Senate Bill,"Environmental protection; permits; various permit fees; extend sunset. Amends secs. 3104, 3118, 3120, 3122, 3306, 11135, 11153, 12103, 12109, 12112, 30104, 30109, 32312, 32513, 80130, 80315, 81114 & 82156 of 1994 PA 451 (MCL 324.3104 et seq.).Last Action: ASSIGNED PA 0090'11 WITH IMMEDIATE EFFECT"
SB 0423 of 2011,Senate Bill,Animals; other; methods of use for euthanizing animals; clarify. Amends 1969 PA 287 (MCL 287.331 - 287.340) by adding sec. 8b.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0424 of 2011,Senate Bill,Animals; other; euthanizing dogs and cats by class B dealers registered with the department of agriculture; require use of certain commercially prepared solution. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 7333b.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0425 of 2011,Senate Bill,Property; conveyances; transfer of Scott corrections facility in Northville; provide for. Creates new act.Last Action: referred to Committee on Appropriations
SB 0426 of 2011,Senate Bill,Elections; school; dates of school elections; require to be in November of even numbered years. Amends secs. 302 & 644g of 1954 PA 116 (MCL 168.302 & 168.644g) & adds sec. 642c.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0427 of 2011 (PA 0232 of 2011),Senate Bill,"Elections; school; technical amendments to revised school code concerning school board elections; provide for. Amends secs. 4, 5 & 614 of 1976 PA 451 (MCL 380.4 et seq.).  TIE BAR WITH: HB 4005'11Last Action: ASSIGNED PA 0232'11 WITH IMMEDIATE EFFECT"
SB 0428 of 2011 (PA 0118 of 2012),Senate Bill,Sales tax; collections; prepayment collection process; revise. Amends sec. 6 of 1933 PA 167 (MCL 205.56).Last Action: ASSIGNED PA 0118'12 WITH IMMEDIATE EFFECT
SB 0429 of 2011,Senate Bill,Insurance; health; standardized prior authorization form for prescription drugs; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 2212c.  TIE BAR WITH: SB 0430'11Last Action: referred to Committee on Insurance
SB 0430 of 2011,Senate Bill,Insurance; health care corporations; standardized prior authorization form for prescription drugs; require. Amends 1980 PA 350 (MCL 550.1101 - 550.1704) by adding sec. 402d.  TIE BAR WITH: SB 0429'11Last Action: referred to Committee on Insurance
SB 0431 of 2011,Senate Bill,Labor; youth employment; youth employment standards; revise maximum number of hours a minor may work. Amends sec. 11 of 1978 PA 90 (MCL 409.111).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0432 of 2011,Senate Bill,"Traffic control; violations; gross vehicle weight for vehicle mounted mobile pavement marking equipment; define, and create exception from general axle weight requirements. Amends sec. 722 of 1949 PA 300 (MCL 257.722) & adds sec. 722b.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0433 of 2011,Senate Bill,Gaming; horse racing; Michigan agriculture equine industry development fund; provide for payment of breeders' awards to Michigan-bred thoroughbred horses racing out of state. Amends title & sec. 20 of 1995 PA 279 (MCL 431.320).Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-2
SB 0434 of 2011,Senate Bill,Gaming; horse racing; Michigan agriculture equine industry development fund; provide for supplement for winning purses of Michigan-bred thoroughbreds racing out of state. Amends title & sec. 20 of 1995 PA 279 (MCL 431.320).Last Action: REFERRED TO COMMITTEE ON AGRICULTURE
SB 0435 of 2011 (PA 0225 of 2011),Senate Bill,"Children; foster care; age eligibility for young adult foster care program, guardianship assistance, and adoption assistance; extend to the age of 21. Creates new act.Last Action: ASSIGNED PA 0225'11 WITH IMMEDIATE EFFECT"
SB 0436 of 2011 (PA 0226 of 2011),Senate Bill,"Juveniles; other; certain services provided to juveniles; modify age criteria for continuing jurisdiction. Amends sec. 2a, ch. XIIA of 1939 PA 288 (MCL 712A.2a).  TIE BAR WITH: SB 0435'11Last Action: ASSIGNED PA 0226'11 WITH IMMEDIATE EFFECT"
SB 0437 of 2011 (PA 0227 of 2011),Senate Bill,Human services; children's services; definition of child; modify age criteria to remain a ward of the Michigan children's institute. Amends sec. 3 of 1935 PA 220 (MCL 400.203).  TIE BAR WITH: SB 0435'11Last Action: ASSIGNED PA 0227'11 WITH IMMEDIATE EFFECT
SB 0438 of 2011 (PA 0228 of 2011),Senate Bill,Children; child care; definition of child; modify age criteria for child care organizations. Amends secs. 1 & 5 of 1973 PA 116 (MCL 722.111 & 722.115).  TIE BAR WITH: SB 0435'11Last Action: ASSIGNED PA 0228'11 WITH IMMEDIATE EFFECT
SB 0439 of 2011 (PA 0229 of 2011),Senate Bill,Children; guardians; definition of child; modify age criteria to continue to receive guardianship assistance. Amends sec. 6 of 2008 PA 260 (MCL 722.876).  TIE BAR WITH: SB 0435'11Last Action: ASSIGNED PA 0229'11 WITH IMMEDIATE EFFECT
SB 0440 of 2011 (PA 0230 of 2011),Senate Bill,Human services; children's services; definition of child; modify age criteria to remain in foster care and receive adoption subsidy. Amends secs. 18c & 115j of 1939 PA 280 (MCL 400.18c & 400.115j).  TIE BAR WITH: SB 0435'11Last Action: ASSIGNED PA 0230'11 WITH IMMEDIATE EFFECT
SB 0441 of 2011 (PA 0091 of 2011),Senate Bill,Insurance; no-fault; proof of insurance reporting requirements for automobile insurance policies; provide for general amendments. Amends sec. 3101a of 1956 PA 218 (MCL 500.3101a) & repeals sec. 3101b of 1956 PA 218 (MCL 500.3101b).  TIE BAR WITH: SB 0442'11Last Action: ASSIGNED PA 0091'11 WITH IMMEDIATE EFFECT
SB 0442 of 2011 (PA 0092 of 2011),Senate Bill,Vehicles; registration; automobile insurance reporting requirements; provide for general amendments. Amends sec. 227 of 1949 PA 300 (MCL 257.227) & repeals sec. 227b of 1949 PA 300 (MCL 257.227b).  TIE BAR WITH: SB 0441'11Last Action: ASSIGNED PA 0092'11 WITH IMMEDIATE EFFECT
SB 0443 of 2011,Senate Bill,"Transportation; authorities; regional transportation authority; create. Creates new act & repeals secs. 4a & 4b of 1967 PA 204 (MCL 124.404a & 124.404b).  TIE BAR WITH: SB 0444'11, SB 0445'11Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0444 of 2011,Senate Bill,Transportation; authorities; exemption for new regional transportation authority; amend. Amends sec. 4 of 1982 PA 432 (MCL 474.104).  TIE BAR WITH: SB 0443'11Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0445 of 2011 (PA 0391 of 2012),Senate Bill,"Transportation; funds; funding for a regional transit authority; provide for. Amends secs. 10b, 10c, 10d, 10e, 10h, 10l & 10n of 1951 PA 51 (MCL 247.660b et seq.).  TIE BAR WITH: SB 0909'12Last Action: ASSIGNED PA 0391'12 WITH IMMEDIATE EFFECT"
SB 0446 of 2011 (PA 0093 of 2011),Senate Bill,Labor; public service employment; claims data required to be provided to policyholder of school district's health insurance plans; clarify. Amends secs. 5 & 15 of 2007 PA 106 (MCL 124.75 & 124.85).Last Action: ASSIGNED PA 0093'11 WITH IMMEDIATE EFFECT
SB 0447 of 2011 (PA 0147 of 2011),Senate Bill,Water; quality; operator certification programs; authorize. Amends sec. 9 of 1976 PA 399 (MCL 325.1009).  TIE BAR WITH: SB 0448'11Last Action: ASSIGNED PA 0147'11 WITH IMMEDIATE EFFECT
SB 0448 of 2011 (PA 0148 of 2011),Senate Bill,Environmental protection; sewage; operator certification programs; authorize. Amends secs. 3110 & 4104 of 1994 PA 451 (MCL 324.3110 & 324.4104) & adds sec. 3134.Last Action: ASSIGNED PA 0148'11 WITH IMMEDIATE EFFECT
SB 0449 of 2011 (PA 0149 of 2011),Senate Bill,Environmental protection; solid waste; tipping fees for landfills; increase and extend sunset. Amends sec. 11525a of 1994 PA 451 (MCL 324.11525a).Last Action: ASSIGNED PA 0149'11 WITH IMMEDIATE EFFECT
SB 0450 of 2011 (PA 0150 of 2011),Senate Bill,Environmental protection; hazardous waste; waste reduction fund; revise distribution of money. Amends sec. 11108 of 1994 PA 451 (MCL 324.11108).Last Action: ASSIGNED PA 0150'11 WITH IMMEDIATE EFFECT
SB 0451 of 2011,Senate Bill,Economic development; renaissance zones; designation of a border crossing renaissance zone; modify. Amends secs. 3 & 8g of 1996 PA 376 (MCL 125.2683 & 125.2688g).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0452 of 2011,Senate Bill,"Vehicles; registration plates; ""In God We Trust"" registration plate; create. Amends sec. 224 of 1949 PA 300 (MCL 257.224).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0453 of 2011 (PA 0321 of 2011),Senate Bill,Property tax; payment and collection; delinquent tax collection process; revise. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 110.Last Action: ASSIGNED PA 0321'11 WITH IMMEDIATE EFFECT
SB 0454 of 2011 (PA 0170 of 2012),Senate Bill,Criminal procedure; evidence; testimony of a vulnerable adult; allow to be presented by videotape or closed-circuit television under certain circumstances. Amends sec. 2163a of 1961 PA 236 (MCL 600.2163a).Last Action: ASSIGNED PA 0170'12 WITH IMMEDIATE EFFECT
SB 0455 of 2011 (PA 0169 of 2012),Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for certain fraud and embezzlement violations; revise. Amends secs. 16i & 16o, ch. XVII of 1927 PA 175 (MCL 777.16i & 777.16o).  TIE BAR WITH: SB 0459'11Last Action: ASSIGNED PA 0169'12 WITH IMMEDIATE EFFECT"
SB 0456 of 2011,Senate Bill,Financial institutions; savings banks; written disclosure of rights of account holders; require for joint accounts. Amends 1996 PA 354 (MCL 487.3101 - 487.3804) by adding sec. 435.Last Action: referred to Committee on Banking and Financial Services
SB 0457 of 2011 (PA 0171 of 2012),Senate Bill,"Counties; employees and officers; establishment of elderly and vulnerable adult death review team; allow county medical examiner to establish and prescribe its powers and duties. Amends secs. 1c, 2 & 3 of 1953 PA 181 (MCL 52.201c et seq.).Last Action: ASSIGNED PA 0171'12 WITH IMMEDIATE EFFECT"
SB 0458 of 2011,Senate Bill,"Trade; securities; variable annuities; regulate as securities. Amends sec. 102c of 2008 PA 551 (MCL 451.2102c).Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SB 0459 of 2011 (PA 0172 of 2012),Senate Bill,"Crimes; fraud; crime of obtaining signature by fraud and penalties for financial exploitation of vulnerable adults; increase under certain circumstances. Amends secs. 159g, 174a & 273 of 1931 PA 328 (MCL 750.159g et seq.).Last Action: ASSIGNED PA 0172'12 WITH IMMEDIATE EFFECT"
SB 0460 of 2011,Senate Bill,Financial institutions; credit unions; written disclosure of rights of account holders; require for joint accounts. Amends 1968 PA 41 (MCL 490.51 - 490.65) by adding sec. 14b.Last Action: referred to Committee on Banking and Financial Services
SB 0461 of 2011 (PA 0173 of 2012),Senate Bill,"Probate; guardians and conservators; miscellaneous provisions in EPIC regarding legally incapacitated and other protected and vulnerable individuals; revise. Amends secs. 2802, 2803, 2804, 5314, 5315, 5410, 5422 & 5423 of 1998 PA 386 (MCL 700.2802 et seq.) & adds secs. 5306a & 5319.Last Action: ASSIGNED PA 0173'12 WITH IMMEDIATE EFFECT"
SB 0462 of 2011 (PA 0174 of 2012),Senate Bill,Health facilities; nursing homes; reporting requirements for abuse or neglect in nursing homes; modify. Amends sec. 21771 of 1978 PA 368 (MCL 333.21771).Last Action: ASSIGNED PA 0174'12 WITH IMMEDIATE EFFECT
SB 0463 of 2011,Senate Bill,"Human services; other; financial exploitation of vulnerable adult; include in definition of abuse, establish reporting requirements, and provide immunity from certain liability. Amends secs. 11 & 11a of 1939 PA 280 (MCL 400.11 & 400.11a).Last Action: referred to Committee on Families, Children, and Seniors"
SB 0464 of 2011 (PA 0175 of 2012),Senate Bill,Criminal procedure; other; development of investigative protocols and abuse and neglect interview protocols for vulnerable adults; require by certain agencies. Amends sec. 11b of 1939 PA 280 (MCL 400.11b).Last Action: ASSIGNED PA 0175'12 WITH IMMEDIATE EFFECT
SB 0465 of 2011 (PA 0168 of 2012),Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of financial exploitation of vulnerable adult; revise to reflect increased penalties. Amends sec. 16i, ch. XVII of 1927 PA 175 (MCL 777.16i).  TIE BAR WITH: SB 0459'11Last Action: ASSIGNED PA 0168'12 WITH IMMEDIATE EFFECT"
SB 0466 of 2011 (PA 0176 of 2012),Senate Bill,Law enforcement; reports; Mozelle senior or vulnerable adult medical alert program; provide for. Creates new act.Last Action: ASSIGNED PA 0176'12 WITH IMMEDIATE EFFECT
SB 0467 of 2011 (PA 0544 of 2012),Senate Bill,"Insurance; annuities; regulation of annuity sales; provide for. Amends secs. 4151, 4153, 4155 & 4165 of 1956 PA 218 (MCL 500.4151 et seq.); adds secs. 4158, 4159, 4160 & 4161 & repeals sec. 4157 of 1956 PA 218 (MCL 500.4157).Last Action: ASSIGNED PA 0544'12 WITH IMMEDIATE EFFECT   2012 ADDENDA"
SB 0468 of 2011 (PA 0177 of 2012),Senate Bill,"Criminal procedure; arrests; complainant's signature requirement to file a criminal complaint in cases alleging vulnerable adult abuse; prohibit magistrate from refusing to accept complaint because signed upon information and belief by individual other than the victim. Amends sec. 1a, ch. IV of 1927 PA 175 (MCL 764.1a).Last Action: ASSIGNED PA 0177'12 WITH IMMEDIATE EFFECT"
SB 0469 of 2011,Senate Bill,State; buildings; conveyance of certain state building in Escanaba to Delta county; provide for. Creates land transfer act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0470 of 2011,Senate Bill,"Land use; zoning and growth management; zoning prohibition of gravel mining; revise standard for determining validity. Amends sec. 205 of 2006 PA 110 (MCL 125.3205).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0471 of 2011,Senate Bill,"Property; conveyances; acceptance by the department of natural resources of the Crystal Lake community center in Dickinson county and reconveyance free of certain deed restrictions; provide for. Creates land transfer act.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0472 of 2011,Senate Bill,Land use; farmland and open space; open space easement exception; revise approving authority and allow waiver of certain tax benefits. Amends secs. 36105 & 36106 of 1994 PA 451 (MCL 324.36105 & 324.36106).Last Action: referred to Committee on Agriculture
SB 0473 of 2011,Senate Bill,"Environmental protection; landfills; secondary liner and leachate collection system; eliminate requirement of for research development and demonstration projects. Amends secs. 11511 & 11511b of 1994 PA 451 (MCL 324.11511 & 324.11511b).Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 0474 of 2011,Senate Bill,Elections; registration; resident address on driver license or personal identification card different than resident address on qualified voter file; permit. Amends sec. 590o of 1954 PA 116 (MCL 168.590o).  TIE BAR WITH: SB 0475'11Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0475 of 2011,Senate Bill,Traffic control; driver license; resident address on driver license different than resident address on qualified voter file; permit. Amends secs. 307 & 315 of 1949 PA 300 (MCL 257.307 & 257.315).  TIE BAR WITH: SB 0474'11Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0476 of 2011,Senate Bill,Elections; absent voters; absent voter ballot; allow first-time voters to utilize. Amends sec. 509t of 1954 PA 116 (MCL 168.509t).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0477 of 2011,Senate Bill,Economic development; economic development corporations; eligibility for property owned by a nonprofit foundation and located in a renaissance zone; extend. Amends sec. 4 of 1996 PA 376 (MCL 125.2684).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0478 of 2011,Senate Bill,"Vehicles; fund-raising registration plates; ""In God We Trust"" fund-raising plate; create, and earmark proceeds to the general fund. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0479 of 2011,Senate Bill,Health; pharmaceuticals; pharmacist interchanging an anticonvulsant drug without notification to and consent of prescribing physician and patient; prohibit. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 17769.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0480 of 2011,Senate Bill,"Income tax; income; business income tax base; modify. Amends sec. 623 of 1967 PA 281 (MCL 206.623).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 0481 of 2011,Senate Bill,"Occupations; nurses; advanced practice registered nurse (a.p.r.n.); establish license for nurse midwives, nurse practitioners, and clinical nurse specialists and provide other general amendments. Amends secs. 2701, 5119, 16327, 16333, 17033, 17201, 17210, 17211, 17221, 17533, 17607, 17708, 17745 & 17820 of 1978 PA 368 (MCL 333.2701 et seq.) & adds secs. 17202 & 17712.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY"
SB 0482 of 2011,Senate Bill,"Criminal procedure; sex offender registration; prohibited areas for sex offenders to loiter; expand to include area within 1,000 feet of a child care organizations. Amends sec. 34 of 1994 PA 295 (MCL 28.734).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0483 of 2011 (PA 0267 of 2011),Senate Bill,"Employment security; funds; Michigan employment security financing act to provide for the issuance of bonds; create. Creates new act.  TIE BAR WITH: SB 0484'11, SB 0806'11Last Action: ASSIGNED PA 0267'11 WITH IMMEDIATE EFFECT"
SB 0484 of 2011 (PA 0268 of 2011),Senate Bill,"Employment security; funds; means of financing employment security deficits; modify. Amends title & sec. 2 of 1936 (Ex Sess) PA 1 (MCL 421.2) & adds secs. 10a & 26a.  TIE BAR WITH: SB 0483'11, SB 0806'11Last Action: ASSIGNED PA 0268'11 WITH IMMEDIATE EFFECT"
